"","Rating","Text","Movie","ID","CriticScore","Delta"
"1",2.5,"  My problem wasn't so much with what happened, rather how badly what happened was conceived and written.","The Last Jedi",1,4.1,1.6
"2",2,"  Jumping around in stpid plot lines that when come together you'll realize you've wasted your time watching this movie.","The Last Jedi",2,4.1,2.1
"3",0.5,"  This is one horrible piece of fan fiction. Do yourself a favor, and stop watching Star Wars after episode 6","The Last Jedi",3,4.1,3.6
"4",2,"  I think Disney is totally wrecking the Star Wars franchise. As someone who remembers the original 3 films that kicked this off, it's very hard to watch what's being done to them.","The Last Jedi",4,4.1,2.1
"5",0.5,"  The Last Jedi is the cinematic equivalent of going to the doctor for a check up and finding out you have 12 minutes to live.","The Last Jedi",5,4.1,3.6
"6",1,"  It no good, it made me sleep. Why is it bad?","The Last Jedi",6,4.1,3.1
"7",1,"  It was horrible. I was getting bored while watching the movie! What a bad writing. Save your money.","The Last Jedi",7,4.1,3.1
"8",0.5,"  star wars the last sjw, please fire both Kennedy and Johnson disney we are done with these feminist ideology","The Last Jedi",8,4.1,3.6
"9",0.5,"  Rubbish!! They made luke skywalker milk a walrus' 3rd nipple and drink it. wtf.","The Last Jedi",9,4.1,3.6
"10",0.5,"  Terrible movie. Depressing with massive plot holes.","The Last Jedi",10,4.1,3.6
"11",3.5,NA,"The Last Jedi",11,4.1,0.6
"12",1.5,"  worse Star wars movie ever, good job disney and ryan johnson.","The Last Jedi",12,4.1,2.6
"13",0.5,"  Horrible movie, ruined decades of lore and had completely crap characters.","The Last Jedi",13,4.1,3.6
"14",0.5,"  A sickening gut punch of a movie.The visuals and music were gorgeous but thats where the good stuff ends. This was a bad movie and absolutely awful star wars movie. The story made no sense, existing lore and continuity was completely disregarded, Luke is utterly unrecognisable from his original beloved character, dialogue is terrible and plot holes abound.This film as killed the remaining love I had for the start wars universe","The Last Jedi",14,4.1,3.6
"15",0.5,"  Plot holes, bad side story (Finn, Rose), political messages and a lack of respect of the older characters. It also takes too much freedom with how the force works, it's basically a Deus ex machina at this point. Star Wars is dead.","The Last Jedi",15,4.1,3.6
"16",1,"  Star J Wars - The social justice warior universe. It has nothing to do with the cruel Star Wars universe. This is just commercialize beyond the point of sanity. Stil one star for very decent CGIs.","The Last Jedi",16,4.1,3.1
"17",0.5,"  Star J Wars - The social justice warior universe. It has nothing to do with the cruel Star Wars universe. This is just commercialize beyond the point of sanity.","The Last Jedi",17,4.1,3.6
"18",1,"  Such great characters: Rey, Finn, Poe, Luke, Leia, Phasma, Snoke... All wasted. Didn't really fit the overall story or character developments set up over the last seven movies.","The Last Jedi",18,4.1,3.1
"19",2,"  How many consistency mistakes can you make? Probably cuased by focus on historic stars, story lines and xsucce sfators which do not work any more, at least not for me. So strange that this clumsy movie with overacting actors gets such high scores here.","The Last Jedi",19,4.1,2.1
"20",5,"  The Last Jedi was a great movie, with just 2 decisions that bugged me. 1. The admiral Holdo-Poe conflict was silly and inconsequential, and could have been avoided if she wasn't written in a way to specifically cause anger and conflict.2. Finn's decision to sacrifice himself should have been followed through. They let down a big character changing monent for Finn. Rose's quote in this scene was laughably stupid and cringeworthy.Besides those two points, it is a well directed, beautifully shot movie that was enjoyable to watch and had great action scenes. I'd watch it again, and I can't wait for Episode 9.My honest review of this movie would be 4 stars out of 5, but I want the 5 star review to offset the ridiculous over-analyzing no lifes hating on this movie.","The Last Jedi",20,4.1,-0.9
"21",1,"  Luke Skywalker's character was dissed so bad in this film . I can honestly say they made all the characters unlikable .. Director Rian and JJ Abrams .. effed this series royally","The Last Jedi",21,4.1,3.1
"22",0.5,"  If you were to able to reverse the roles gender wise the women would not have tolerated being the losers that depend on the men to make everything right. So the movie I think failed big time in the writing and characterization of the good guys.","The Last Jedi",22,4.1,3.6
"23",2,"  There were so many problems with this movie from top to bottom. In reading the positive reviews, I'm not sure we were watching the same movies. I watched this at home, which may have missed out on the experience. Poor character development, nonsensical plot, mediocre CGI (especially the stills), and none of the choreography and music that Star Wars has been known to do well.","The Last Jedi",23,4.1,2.1
"24",2,"  Visually amazing in many ways but this has to be the worst attempt at telling a Star Wars story I've ever seenThis is coming from a die hard Star Wars fan who grew up with the movies, video games, books, comics, toys, etc. The whole movie takes place over a span of like 10 hours and does nothing to advance the story. They basically took all the possibilities that TFA set up and threw them out the window. Like is now a coward and useless, Rey is the exact same as before, Kylo is always about to cry, Hux is the least intemidating villian ever, we never find out anything at all about smoke and OH! He's dead now. The entire adventure of Finn and Rose is pointless and just takes away from what's going on with the story. Rose is a completely pointless character who adds nothing. LUKE DIES FOR NO REASON. Leia flies through space. Chewie does nothing. Why doesn't Admeral Halsey just tell Poe or anyone that they aren't all going to die so they don't get involved with the stupid side quest that ends in resistance fighters getting blown up. BB-9E got hyped up and does nothing in the movie. The whole force image of luke that fights kylo is dumb and they both stand really weird the whole time. Rose saves Finn in the speeders by hitting him from directly sideways after she had already turned back and Finn was like 1,000 yards farther along than her. Yoda is great. Ports are great. Nein Nub survives so that's cool. Akbar is dead :(. We still don't really know about Rey's parents or how luke's lightsaber was found. How did the top just rip off of the AT-ST that BB-8 rode on? Soooo what was the point of this movie?","The Last Jedi",24,4.1,2.1
"25",0.5,"  After years of waiting for luke to return he's a depressed jedi who doesn't want to be found... even after leaving a map behind to find him.","The Last Jedi",25,4.1,3.6
"26",1,"  Really some people thinks this is a Star Wars movie?The original Story is about the Skywalkers, if you want to Watch a movie about pass the torch to a new generation, this is your chance but if you love the original Star Wars Characters avoid this mess","The Last Jedi",26,4.1,3.1
"27",1.5,"  Very disappointed, I gave it another shot on Blue Ray, it's just as bad, this time even worse because of the negative feelings I already had for this movie. Tried to like it but couldn't, there's no way I'm watching Solo, a pathetic script it's like they re wrote the freaking original with a different spin, but this time it sucks! Killing off one fo the most iconic character in Star Wars franchise. Idiots!","The Last Jedi",27,4.1,2.6
"28",4.5,"  I loved how the film embraces the idea of balance between the light and the dark. It makes this the most interesting Star Wars film yet.","The Last Jedi",28,4.1,-0.4
"29",0.5,"  The problem is the makers of this film where interested more in political statements then making a film worthy of the franchise. Keep ANY politics out of it!","The Last Jedi",29,4.1,3.6
"30",2,"  I can't believe they were allowed to via away from the original stotyboard, Screwing with the continuity, and leaving no cliffhanger making the last in the trilogy a movie I am no longer interested in. Poorly written, bad choice of director with a self-massaged ego.","The Last Jedi",30,4.1,2.1
"31",1,"  Terrible what have you done ,this is unforgivable","The Last Jedi",31,4.1,3.1
