"","Rating","Text"
"1",1,"  It's hard to know where to start. The kids acting was great. Chris Pine is fantastic eye candy. The mom was good. Oprah, Reese and Mindy looked stilted. Everything else was awful. The editing, how it was shot, the scripting, the direction, how it lurched from scene to scene without making sense, how it failed to develop characters... its 2 hours you'll never get back, so don't bother."
"2",1,"  Awful movie, don't waste your time or money. YUCK!"
"3",0.5,"  One of the wort movies I have ever seen. I read the book, and wasn't in love with it to begin with as an adult. More of a book you should read as a kid, because the level of the material, and this maybe falls in with the same problem? I love Reese Witherspoon, but not even her presence in the movie could salvage it. I was literally counting down the minutes until I could leave the theater. I thought about it, but decided to ride it out. Don't go."
"4",5,"  Incredible. Absolutely incredible. My imagination has been broadened just by looking at the poster. Anybody who hated this movie is a liar."
"5",1.5,"  The only reason I give it a 1.5 is the Neighborhood scene and the child actors, the rest was just a disappointment."
"6",1.5,"  WHAT THE FUCK DID I JUST WATCH?"
"7",0.5,"  This was the second worst movie that I have ever seen in 51 years. The worst ever! what a waste of time and money. Not even worth a DVD rental"
"8",3.5,"  This take on the book A Wrinkle in Time is done in a way that it feels like it will be loved more in the years to come than in the time it first comes out. The cast does a good job to bring up the message about how you are perfect just the way you are, but they do have some faults. Storm Reid definitely takes the cake with her dramatic performance but the rest of the cast falls a little flat but there characters are portrayed well. This movie needs a little more credit for it's visuals and performances. Disney took a risk with this movie and the final product is honourable even though it had faults."
"9",1,"  Although great scenery and special effects, the story line was bland and confusing. The way the story was told was to confusing and illogical. Things happened in the movie that were unexplained and confusing. Overall, I did not enjoy this film at all."
"10",2,"  This was probably a good movie for young girls, but it was so slow and boring. I think I remember the books being more exciting, but this one didn't have much to it. I wouldn't waste your time watching this movie unless you have a young daughter."
"11",0.5,"  The main motivation for Disney to create this garbage was the dream of a day when they can create a new 'Harry Potter'"
"12",3,"  Imaginative but lacking genuine complexity. Loved lead Storm Reid, impressive young actress and Oprah has real screen presence but a few less flying flowers and a bit more genuine moral dilemmas would have improved it. Ambitious but ultimately not what it could have been"
"13",2,"  Ruined by unnecessarily long pauses and reaction shots. Levi Miller is a true star here... but how is it possible to make even Reese Witherspoon seem like a bad actress??"
"14",0.5,"  One of the worse movie I saw in my life. I understand why the book is popular, Unfortunately, some stories can't be tell in a movie. It's a total miss!!! Horrible!!! Don't go!!!"
"15",2,"  Rushed ending and this movie is just messed up it was quick and it's like something you can't keep up with."
"16",0.5,"  wow what a waste of time. I hate I took my children to this."
"17",3.5,"  The cinematic relationship within an adaptation between a book and a film tends to attract spectators to the film before knowing there's already a book at the first thought. Should I read the book before seeing the film to see whether or not it's a faithful adaptation? Or just go straight to the film and read the book another time? It should be based on the level of your own anticipation towards the upcoming film that you may like to see in the theaters before reading the book.""The Martian"" provided an interesting narrative while ""Wonder"" showed a heartening promise, and both films apparently proved to be subconsciously faithful without reading the book. Then there's Disney's latest dive into the fantasy genre as a new film form of imagination that's based off from the pages being transformed under Disney's magical hypnosis effect. ""A Wrinkle in Time"" was earlier compelling, along with a nice set of announced cast, by a possible mysterious concept that may be concerning time travel. But after seeing the film, after being compelled to check out the book a week prior, it may have been a different experience below the initial expectations.The story focuses on a young girl named Meg Murry, who been dealing with the disappearance of her father Dr. Alex Murry for five years since he somehow discovered a new planet. Her wandering little brother Charles Wallace meets the mysterious astral travelers Mrs. Whatsit, Mrs. Who and Mrs. Which; then the two siblings, joined by Meg's classmate Calvin, got put into a dangerous journey to bring back their father under the travelers' guidance. It would take the kids' bravery to get through a planet that possesses the universe's evil soul, while the siblings' bond will be put into an eventual test along the way.From what I grasped after the first viewing, ""A Wrinkle in Time"" is rather complex to the meaningful soul mainly by the abrupt folds in the narrative flow, lacking any smoothness for the characters and the overall approach. It's another of those attempts made by Disney to be ambitious only to occasionally falter when created a visionary void with not much to fill the rest for balance that's relied on to the writing and the cast. The descriptive and emotional human soul noticeably provides repetitive moments for the heroine's understanding of the surrounding circumstance with communicated lines that tried to go beyond, only to turn out to be awkward writing.Thanks to the writing, it had affected the nicely-selected cast's somewhat squandered talents, but not their charms when putting literal-balanced energy into their characters. Respectively portraying the astral travelers, Oprah Winfrey, Reese Witherspoon and Mindy Kaling did their best to guide through a fantasy scale while radiating pleasantness in their known presence. Chris Pine energetically performed fine when setting the idea up and trying to put it all to rest. The main, most-energetic spotlight goes to the young stars Levi Miller and breakthroughs Storm Reid and Deric McCabe as they venture throughout the given flow and gave it their best than the veteran actors, though still part of the unbalancing. Simply put, the appealing cast performed decently at the film's average.Director Ava DuVernay's intention with this project besides going into the adaptation and having fun along with the rest of the cast is to express a message about diversity and female empowerment, with Jennifer Lee from ""Frozen"" as one of the writers. She did that nicely well amid the visionary void through the characterization under her own spin, especially when providing an insightful understanding as a moral pinch of social commentary salt - hence the meaningfulness. Accompanying that approach next to the characters, along with occasional unique style, is the elegantly fitting music that seems to express the encouraging spirit that composer Ramin Djawadi didn't need to heighten.So yeah ""A Wrinkle in Time"" may be questioned regarding its faithfulness to the unread source material as it would take another viewing then a reading of the book to fully grasp it. But as of the first viewing, despite not really being engaging as hoped, it's a decent film for visual entertainment with a subtext in the veins as part of the celebrated soul in reflection form. How flawed it may be at the front with qualities to enjoyably appreciate, it's more important that the cast and production crew had fun doing the project. Otherwise if they didn't, it would be a bad movie. (B)"
"18",1,"  A candidate for worst movie of the year, as this thing was horrible."
"19",5,"  I LOVED this movie. It is wonderful in every way."
"20",0.5,"  Horrible Directing, horrible story line, and horrible acting across the board, make this perhaps the worst $100 million dollar movie ever made! In fact, it may be the worst movie ever made regardless of the budget! Painful and cringe worthy throughout!"
"21",0.5,"  I´ll not recomend this movie to anyone."
"22",3,"  OK Writing: 1 starThe writing seems very deep and psychological but the characters and conflicts have no significance. The movie has almost no purpose other then developing the protagonist self confidence. In the end the entire plot was based on believing in yourself but when nothing else in the movie has significance why have a greater supernatural conflict?Great Production: 2 StarsCast, special effects, set design and cinematography were all great."
"23",2,"  I had been looking forward to seeing this movie as it was one of my favourite childhood books. It was visually beautiful, but I was really disappointed with the interpretation."
"24",0.5,"  Very disappointing!!"
"25",0.5,"  Honestly the worst movie I have ever seen. From the stories development, flow and progression, the acting, the script, just everything. Everything just awful."
"26",2.5,"  A rarity for me being so baffled by a movie; I highly anticipated A Wrinkle In Time from the moment I heard it was in production. Then came the amazing first teaser trailer which captivated me more in 1 min and 50 secs then the entire movie did. This was set to be a poignant movie experience and perhaps was, but not in the manner that I had expected. Walking into this movie I wanted to be transcended with emotion and evoked with deep thought, deep adventure and deep story telling considering the amazing cast featuring none other then Oprah. This was a poignant experience, but more of one that left me confused, unfulfilled and dumbfounded. All that deepness I hoped was left wading in shallow waters. Not having read the book I went to this with pure movie mindset and walked out thinking I may need to read the book to get even an ounce of what this story was. Major, and I do mean major, plot holes are all over the place in this movie that lacks any kind of depth to what is being told. The climax of the movie is perhaps the worst part of it all. Its much of a Alice in Wonderland story, however the journey is no where near as fun and charismatic. Kudos to the wonderful cast, however they could have pushed their characters a bit more. One gripping emotional moment shared between two characters/actors does bring you into the movie one extra much needed level. This movie left me so unsure of what to think that Im even more unsure of how to critique it or my thoughts of it. With all that said Im curious of its Rewatchability factor. If I see this on TV down the road would I tune in? Thats where my intrigue peaks itself. Watching it again I may be forgiving of the plot holes or the distributing climax. The journey is simple and could make for an easy movie to tune into at any point ,have on, and not need to pay close attention to while doing stuff around the house. For that it might make it worth the rewatch for the emotional, but short, moment during the climax. Basically, wading in shallow waters can be relaxing. Only time will tell for this one, so I guess it does live up to its namesake."
"27",1,"  This movie is very slow and boring, The visuals are good but that is all that is really good. Go read the book instead."
"28",1,"  great story, but the make-up artist is awful. Oprah Winfrey, an imposing woman, is made up with a lot of glittery makeup such as silver glittery lips, in closeup."
"29",2,"  Not as good as I expected at all."
"30",1.5,"  Dont wsste your money or time. Book wad a hundred times bettet. Over used graphics poorly done at that. Chris Pine lowered his standard. 1% good graphics. Stiry line depressing. Not a feel good mivie. Youll contemplate suicide after watching..."
"31",1.5,"  When I went to see this movie I was reallly exited but I really felt the movie was underwhelming . First of all the main actor (Storm Reid) was by no means terrible but her line are often delivered akwardly and that slows down the whole movie. The worst part about this movie is the special affects. Every thing in the show felt so fake and most of the time you can tell they are on a green screen and that takes from the magic. Overall I would give this one a skip"
"32",0.5,"  Worst Disney movie EVER. It should be called, :A waste of time."" 1.75 hrs of my life I won't get back."
"33",1,"  yikes.... horrible cgi... horrible costume and makeup... horrible dialogue....."
"34",3,"  This movie was okay, I saw it in the movie theatres. I enjoyed it for the most part but some parts just lost me and didn't make any sense. Some parts of the movie went either too slow or too fast. Some parts are just too cringe for me to handle. Other than that I loved Storm Reid and Chris Pine, they were very good in this movie."
"35",5,"  This is was the greatest movie I've ever seen besides the Marvel franchise"
