"","Rating","Text"
"1",2,"  Very pretty, but without substance. I am confused why the pro critics thought this was interesting. Removing all the dialogue would have significantly improved the film, as the viewer could have made up an interesting explanation for the pretty pictures."
"2",3.5,"  A really good sci-fi flick, with a lot to think about. Lots of good visuals throughout and a solid performance from Natalie Portman"
"3",2,"  The premise had potential. But in the end it was disappointing."
"4",1,"  Falsely complex. As a biologist, I understand what inspired the movie. But the delivery is flat."
"5",5,"  Annihilation is an alien movie like no other. Sci-fi and horror all rolled in to one that leaves you asking many questions and pondering our existence on this earth. Are we truly alone ?"
"6",1.5,"  The movie was nothing new. The story was standard and predictable. The concept was alright. There was nothing challenging about this movie. I am seriously doubting Netflix as a producer of movies."
"7",4.5,"  Annihilation is ambitious even for a sci-fi movie, it really challenges our believes on what is possible. Some peoples imagination might not stretch far enough but for me it really played in my mind and gave me a memorable feeling like nothing else, a feeling of the universe and what is and is not possible, we just don't know. Annihilation does a beautiful job at representing us with what the writer or the director thought could be possible and what an alien life form could end up being - strange and unlike anything we could imagine."
"8",5,"  I do not care if I sound smart or not. I liked the fucked up idea behind it. I ADORED the all female swat team into the unknown. I loved the terrifyingly beautiful or the beautiful terrifying. Its great. Like, you'll enjoy it. Chill."
"9",5,"  Whilst the movie chooses to switch up the order of events, change nuiances in the characters (The biggest being the psychologist), and some other minor details, the film adaptation takes all that is good within the book and adds a unique cinematic experience to it. The movie explains things that are more open ended in the book, and the book explains things that are more open ended in the movie with some parts painted with the same ominous brushstrokes which give each of them their unique identity. In this sense, It is unfair to compare and contrast them in terms of which is better, but only in ways which make them both uniquely brilliant. I was forced to try ti understand the implications of the story purely visually and emotionally. I've never had even the most profound movies cause me to completely deviate from words spoken, but Annihilation does this perfectly by the repitition of ""I don't know"", and the best movies leave with audiences uttering the same thing."
"10",5,"  Pure sci - fi love it"
"11",3,"  Annihilation is the second Sci-Fi movie directed by Alex Garland after his great debut Ex-Machina. Unfortunately, this movie is not as good as Ex-Machina. It suffers from the lack of characters depth, terrible pacing, and a lot of things that left unexplained which I considered as plot holes. I struggled to care about everything that happen with the characters in this movie aside of the character portrayed by Natalie Portman. But, I really appreciate the fact that this movie is beautifully shot and the fact that this movie is trying to be different than your ordinary Sci-Fi movie. This is definitely one of those movies that you couldn't only watch once, but you only want to watch it once. It might be that this movie could be a cult movie in the future like the original Blade Runner did."
"12",2,"  It was actually quite boring. Beatiful and well-made, though. It had a lot of nice ideas which weren't presented in a decent way, and I hated all the flashbacks/flashforwards. I would say that 80% of the film was wasted.Also, it had the most stereotypical portrayal of a lesbian I have seen in recent years (and, SPOILER, she is the only character we see suffer a horrible death, reinforcing the Evil/Dead Lesbian Trope).Oh, and I liked the soundtrack. It was nice that you didn't have to reach for the volume control every two minutes."
"13",5,"  This is a beautiful yet macabre sci-fi that will leave you scratching your head. The cast did a great job, everyone seemed to suit their roles. After the credits I found myself wanting to know so much more about the world and the creatures in it. If you really hate gore you may not like it but there isn't that much of it. Undoubtedly worth the watch,"
