"","Rating","Text"
"1",0.5,"  Least favorite of the Marvel movies. WAY overhyped."
"2",5,"  Wonderful acting and writing really make this movie something else. The plot is predictable (good guy beats up bad guy), but it still deviated from the normal superhero movie. I actually was sad watching the villain die, something I've never felt before."
"3",0.5,"  TOO MUCH FX (HURT MY EYES) AND IT'S NOT MY CULTURE, I DON'T FEEL LEAK TO ONE CARACTER;"
"4",5,"  THE Best movie every"
"5",5,"  Just came from seeing Black Panther with my daughter. How much I LOVED this movie is an understatement. Overwhelming sense of pride just fills my heart. Going 2 see it again & again. THANK U Ryan Coogler and entire cast."
"6",4.5,"  A great movie, one of my favorite MCU films to date. I was able to predict some of the twists, though that could be in part cause it is a superhero movie. I defiantly look forward to seeing Black Panther in future MCU films."
"7",1,"  Okay, but very overrated."
"8",1,"  This is the most overrated and overhyped movie I have ever seen. I wish I wouldn't have come in with such high expectations but when everyone is proclaiming it the best movie ever, it's hard not to. I wouldn't even put it near my top 5 super hero movies."
"9",5,"  F A B U L O U S film!!"
"10",4,"  Great movie! The pace was a bit slow and the soundtrack was awful, but other than that, Black Panther was a great movie. Now it's time to get hyped for Infinity War."
"11",2.5,"  edgy not in a good way"
"12",5,"  Impossible to speak of ""Black Panther"" without hitting the key (and with all right) of the representativeness, the importance of this film for a part of the population that few times was protagonist .. represented of heroic form.Finally, the film raises these discussions but treated as just another part of the already extensive MCU, the film fits and excels in Ryan Coogler's sharp technique in the quick and didactic story set in a unique moment in American history the only one that defines the entire line of the film, the quest for tactile reality ... even though it is primarily a fantasy of Marvel superheroes. That has all his way of being, winner .. but here Ryan gets more polarized the jokes are punctual quick .. many comes from the relationship Shuri and T'challa in this brother thing. The movie has this sort of thing ""lion king"", loss of the father..the rise means the forceps of a new king..meio that without knowing the way forward before the challenges faced by this Wakanda..so rich and technological .. but closed to the world for so long. The other side of the coin that ambitions the throne Erik Killmonger, has different plans for this nation in dispute. A young man with thirst for revenge who does not hesitate to achieve his goals, with fury and savagery does not measure efforts in the ends that he believes justify the means. Villain, fanatic, terrorist ... he may be all these things ... but the origin of the young person who does not justify his actions ... is a considerable motor force ... he has the motivation the reason to be so. And Michael B. Jordan manages to convey this in every scene in every angry speech, every act of Killmonger ... sympathy would not say, but you almost understand your motives. The movie walks true, beautiful .. you look at Wakanda and see her pretty colorful, organic and technological .. something that could have been .. happened if they had the chance, if they had the power over themselves. You look at that look and smile if you imagine it there. The cast is also impressed by the commitment to truthfulness by the transmission of feeling, placed in each expression. I think from the moment that film could reach so many people, so many lives they wanted their performances to reflect on those lives. The importance of this film, perhaps in the history of the cinema so rich is small, but with whom he intends to speak and whoever is willing to listen to it will be very important and represent a lot. The politics embedded in it shows current..the conflicts shown..the fears and intolerances treated to a lesser or greater degree, are sharp and speak with this generation. Black Panther was created in the 60s / 70s, a time of racial tension, a black panthers group, and even today it is necessary and punctual. Preaching diversity, respect for the different and unity as if we were all part of a beautiful and numerous tribe."
"13",4,"  This movie was amazing. Mostly, Michael B. Jordan's performance as Killmonger. There was a lot of depth to him. He truly felt that he was the hero of the story. They don't make villains like that for every movie, but the ones that do are wonderful stories. Go see this movie. Not only is it a great addition to the MCU, but it shows that heroes are not perfect and villains are not always inherently evil."
"14",5,"  Action movies aren't really my thing, but I ended up really enjoying Black Panther anyway. I loved learning about Wakanda and its culture. It's been a long time since I've enjoyed myself this much with a movie!"
"15",5,"  Loved it! Solid film! The ladies...????????????????"
"16",4,"  This action packed film has good action, amazing cast, good pace and amazing world in wakanda only problem I have it's does copy bits from the first Iron Man movie but still check it out"
"17",2,"  No real humor, its way more serious then it really needs to be. I came in wanting some nice humor with some great action and subtle political messages hidden for me to find upon repeated viewings. Although it was over hyped and even if it was amazing it still would have been over hyped, but the hype did have a part in me thinking it would be the most incredible movie you ever did see. So my point is, they sacrificed humor for politics and yet i still dont get exactly what political message they were trying to tell even after 4 repeated viewings. Libral? Conservative? in between? I dont know, yet they sacrificed my main drive, humor, for politics i dont even understand."
"18",1,"  if you like CGI .. i mean so much CGI ..a movie dripping of loads and loads of CGI ...massive boat loads of CGI ...so clean looking even when cars crash they are spotless ."
"19",2,"  was excited to watch this with all the hype. I found it to be my least favorite Marvel movie. The poor African accents made it painful. It was just very underwhelming for what we have come to expect from Marvel."
"20",3,"  I know this isn't a popular statement - but in my opinion, Black Panther is only slightly above average, mainly due to its predictability. I wouldn't count it among the top Marvel movies, though definitely better than most of the depressing DC movies of late (Except Wonder Woman ofcourse).With the overdose of Superhero movies nowadays, its hard for us to be impressed lately. Marvel/Disney are smart to release this in Feb - a traditionally lull movie month, so this is clearly the top earner. Also, its ahead of the upcoming big guns in Summer."
"21",3.5,"  Reviewed 3.18.18. Black Panther has deservedly received a lot of press for its first of a kind casting for a superhero movie. And also for raking in a ton of dough. So the fact that it's the most nuanced of all the Marvel movies has flown under the radar. The blurred line between right and wrong has been mined to death in the comic book genre. But no other entry has so adeptly deconstructed the greater truth. Along with the topical storyline of nativism versus world building, Black Panther is the 'now' movie of the moment. Brave enough to make the antagonist the most compelling character, young director/writer Ryan Coogler sets himself apart. With Marvel perhaps running out of steam (and enough darn CGI already, it's a comic book movie, not a cartoon), Black Panther has raised the bar perhaps one final notch."
"22",4,"  Movie was amazing.Marvel never disappoints.Must watch."
"23",4,"  A massively important step in the evolution of the genre (and mainstream films in general), Black Panther is the kind of film with the power to change minds. And that more than makes up for a disappointing lack of originality in terms of action and plot."
"24",3.5,"  A colorful tale of the fictional, hidden African country of Wakanda. Wakanda is a wealthy nation that's maintained its wealth, not by profiteering, but by maintaining (and basically hoarding) its valuable resources to utilize for its own benefit. While this has worked for centuries, a small number of its citizens believe it's time to expand into international influence (probably social media's fault). Some citizens think the influence should be peaceful, some malign. I found this movie to be more colorful than exciting or humorous. Its car chases through the streets of South Korea, are, frankly, the most exciting and interesting, probably because this movie also happened to be released during the 2018 Winter Olympics, and 'all eyes on PyeongChang' and all that. Had they used the action to take us around Wakanda instead of S.Korea, maybe we could've gotten a better view of what this fictional city looks like from street level, and found the city more realistic overall. What we do get is a very well-suited (pun intended) T'Challa in Boseman, good acting, a good supporting cast, a well-rounded character in Killmonger, and a great character in Man-Ape. Man-Ape worked as a great supervillain foil in the comics, but it isn't until he's brought to life in the movie that he gains some extra dimension (that pun wasn't intended), making him better rounded (oops, that one wasn't either) and more fun to watch. Shuri wasn't like her comics counterpart in any way, but being a modernized citizen in a traditional culture, along with being almost a clich�'d geek techie, made her kind of cute, I guess. Killmonger is an interesting allusion. Now that the other Marvel movies have created a larger New York and a vast galaxy of characters and extraterrestrial civilizations, they're finally expanding into a bigger Earth, showing it too is full of stories. That's the most refreshing part of BLACK PANTHER. Dr. Strange touch on an expanded Earth as well, but went more into extra-magical-dimensions.This is a good introductory film for the Black Panther, and I can see a lot of potential in it the same way as the CAPTAIN AMERICA and THOR movies weren't that impressive until after looking back from their second and third installments."
"25",1,"  Was I supposed to be intimated or something?"
"26",4,"  Solid film. Great characters and plot. Some messy CGI here and there though."
"27",1,"  it was ok at the start and went down hill to the very end. I gave it one star just for the start of the movie , sadly the people that made it ignored the comic books 95% of the time when making this movie .very sad"
"28",5,"  An excellent addition to the mcu and to the superhero universe..."
"29",5,"  Had high expectations, and they were met. Really enjoyed!"
"30",5,"  Fantastic! It gets so much right it's almost unheard of. Every member of the cast shines like a gem. The world and characters are so rich and vibrant it feels like everyone and everything you see is as real and has as much history behind them as anything on our side of the silver screen. Even the villain is a robust and three-dimensional character who holds views the audience is likely to sympathize with, though he takes them to an unacceptable extreme. If you haven't seen this yet, go. Go see it. See why it's about to top a billion in sales less than a month from opening."
"31",3.5,"  I have been disappointed by a number of movies recently, which on a viewing do not live up to their hype. So, I went into Black Panther waiting to be disappointed and happily on this occasion I wasn't. To balance this, it's not the masterpiece that some critics have made of it but it is an enjoyable watch. The action pieces are great, the plot solid and though the characters don't match those of other Marvel entries, they are still likeable and do not fall into the trap of being overly clichéd. The dialogue doesn't sizzle like other Marvel movies but it certainly isn't cringe worthy and perfectly fits the story they are trying to portray. The plot works well for the characters and world that the movie is trying to create and while not overly inventive, it is still a good watch. Overall, I am glad that I went to see this and hopefully they can keep the quality going."
"32",3.5,"  gREAT Superhero movie with An incredibly relevant and Potent Message and themes on race and equality. I just wouldn't call it %97 worthy, due to Fairly cliche structure and a Huge disappointment on behalf of the soundtrack, which BASICALLY just recycles trap beats and features almost no Kendrick Lamar throughout the entire RUN-TIME of the film, despite him being the primary artist in charge of the film's official soundtrack. The pros outweigh the cons for sure, but it's by no means a perfect movie like everyone is saying."
"33",5,"  Racist white people on movies with a predominantly white cast and one (1) non white person, something which has been the norm for a century: [crickets]Racist white people on one (1) movie with a predominantly black cast, which takes place in Africa and still manages to get two white men in the cast: SJW bullshit, propaganda, racism, alienation (it's because you're racist and and can't relate to non-white people when POC have had to relate to white characters forever), etc.Just say that you are racist and go."
"34",0.5,"  Weren't the Black Panther's a terrorist group that promoted violence according to google? Crappy movie anyhow."
"35",0.5,"  Visually good but too much left wing political correctness"
"36",5,"  Not just an incredibly entertaining Marvel film (almost every MCU movie at least this), but also a culturally significant one. Everything in this film just soars: The cast, direction, visuals, soundtrack, message, etc. If any superhero film deserves a ton of Oscar nods it's this one. Marvel Studios continues their unbreakable hot-streak and prove that they can make truly important films in addition to ridiculously fun ones."
"37",3.5,"  Good movie; great choreography, fight sequences; magical visual FX, lots of gadgets (feels like #JamesBond); #Wakanda was well introduced; good villains, you can understand their motivations; good plot, drama, politic, but.... the film is decaf, without something really EPIC; Sometimes is slow."
"38",4,"  Par for Marvel. Great superhero movie. Not a great ""black"" movie, a great superhero movie."
"39",2.5,"  Visually a masterpiece, amazing costume design, CGI brings this comic book character to life with amazing imagery. Chadwick Boseman nails it as the central character Black Panther. The character must share ample time with green screen and other major battle scenes with Michael B. Jordan as Erick Killmonger his main rival.Wakanda is the home for T'Challa son of the slain king T'Chaka, who must take his rightful place leading his country. The council is a tribal group who advises and provides the backdrop to ensure the country remains strong.The areas where there is a certain amount of leverage in any comic book movies is the dialogue. At times I had trouble understanding what was being said. It also seemed to show the same close ups of the tribal council over and over as well as the ritual to become the Black Panther. It was tedious to watch and seemed like it was unnecessary. The action sequences made this worth the wait as the loyal Wakanda people battled the other factions led by Erik Killmonger changes the landscape to change the Vibrairum rich Wakanda to move to the entire world and kill all those who oppose.In summary great action movie with great scenery and a wonderful cast. Was it the best super hero movie no but am looking forward to the next. Keep pushing the envelope."
"40",5,"  If you like superhero movies, this is up there with the best of them. One of those movies where there isn't a dull moment and it had me on the edge of my seat the entire time. Anyone giving this movie anything less than a 3 star rating, clearly hasn't watched this movie."
"41",1,"  Would give it 0 stars if I could. Worst movie I have ever seen."
"42",5,"  Is the best movie ever I would watch it again and again and again"
"43",3.5,"  It's great, but as great as other Marvel films out there :)"
"44",5,"  Cgi was bad in the last act. The plot was generic. This movie did not have good action sequences. And it was boring."
"45",1,"  Boring, predictable, uninspired. Characters are undeveloped, the plot line plays out like every other King of the Castle film, the superhero is an echo of Batman, the General/Bodyguard is annoying with her stupid duty aggression, etc. Just every other King film recycled."
"46",0.5,"  I cannot vote this movie, for some reason. Rotten tomatoes does not allow me.... many of these 99% positive votes are ""fake"""
"47",4,"  With stunning visuals, thrilling action, and likable characters, 'Black Panther' is one of the best films offered from the Marvel Cinematic Universe with its politically thought-provoking narrative."
"48",5,"  Best Marvel's movie in many years! It's more from the line of movies from Captain America, and technically it continues from where Civil War left. I was worried that they could make this a comedy like Thor Ragnarok, but thankfully was not the case!Great movie Marvel!"
"49",1,"  I walked out half way through. Boring, predictable plot combined with atrocious acting and dripping with transparent, tired and boring US-centric racial themes make this movie one to miss. Honestly, what has happened to Hollywood? Churning out utter rubbish for years and now they're, desperately pushing SJW themes in a vein attempt to virtue signal to the rest of the world despite them being hypocrites of the highest degree. Rinse and repeat - time to wake up and smell the coffee, your audiences are bored of it."
"50",4,"  ibhayisikobho enkulu kunye nabalinganiswa abanomdla kunye nebali elilungileyo."
"51",1,"  Visuals as far as scenery were nice. Special effects were sketchy in parts. Story was a real let down."
"52",1,"  very racist, shockingly so. would not see another."
"53",4,"  Classic greek tragedy meets the Klingons offer of warp drive. Very good performances throughout. Andy Sirkus makes a fine villain. Edged weapons work better than blasters again (thanks Star Wars). Problematic political system."
"54",1,"  Over hyped movie, with a dull plot that didn't do the comics justice. The actresses in the movie were the only redeeming quality of the film."
"55",3.5,"  A well-made movie with characters you care about. Unfortunately, if follows a similar superhero plot. Not a groundbreaking movie."
"56",4.5,"  Great performance,Excellent collaboration with history and politics,Fantastic visuals and By far the important Marvel movie to date."
"57",4,"  +Great performances by all the actors especially with Letitia Wright as Shuri and Winston Duke as M.Baku+The women are not damsel's in distress and are bad asses+Wakanda and the world building is really good+The more political movie differentiates it from other MCU and superhero movies and it really works+ The story is interesting and the character development for T.Challa really works+The music for this movie is phenomenal+ Killmonger is a really good MCU villain with an actual sympathetic backstory and believable motivation with a great performance by Michael B Jordan- Killmonger does not have enough screen time and it takes half the movie for him to actually make a presence- The action scenes apart from the casino/Korea are all bland and forgettable which is really bad especially for a superhero movie- The CGI is really noticeable and is absolutely terrible in the final fightMinor Nitpicks.The first after credit scene really should've just been the ending though it is understandable to end where the film began.Since this film is set right after Civil war, it is kind of weird how they brushed over T.Chaka's death"
