"","Rating","Text"
"1",3.5,"  The movie was cute, but I don't think it's one of the best Pixar movies. Still a good watch, but I'm in no rush to watch it again soon"
"2",4.5,"  Nothing short of spectacular."
"3",5,"  Excellent movie. Amazing soundtrack."
"4",3.5,"  Generally not a fan of animated movies of the last few years as it seems that story telling and art have taken a backseat to political correctness. Not so with . Perhaps Disney and Pixar have learned their lesson. In fact, what I though going to be an extremely political movie, I was pleasantly surprised at the story telling. As someone watching aging grandparents descend into Alzheimers and dementia the story pulled hard at the heart strings. A good story and beautifully animated."
"5",5,"  This is easily one of my favorite animated movies ever. Pixar has blown me away with a lot of their movies such as Inside Out and Wall-E but this one blows them away in my mind. It is beautifully animated, has amazing characters, great performances, an amazing story, and fantastic songs. Their isn't a single problem I have with this movie and if you haven't seen it I'm telling you know you will cry and you will love this movie."
"6",5,"  this movie is very inspirational have unique twist which you can never imagine in a short period of thinking.The music and the characters purposes to the main character is very astonishing."
"7",3.5,"  Cute movie with a predictable story; however, music was superb."
"8",4.5,"  Absolutely wonderful family film with amazing animation and sound quality! It sheds a spectacular spot light on Latino culture and family values, while still having a thrilling mystery behind it."
"9",5,"  Coco Montrese, in the challenge we were raised from the dead, but on the runway your Latino blood was muy caliente. You're safe.COCOSeldom does a movie inspire me and propel me to what's best in filmmaking. Coco is one of those rare films you watch that become an instant classic. And yes, the lustful visuals and the upbeat and melodic songs are a great part of the experience but what makes this movie great, is its emotional sincerity, expertly complemented by Giacchino'a score. It's clear that this movie was based around a simple premise and a love for telling stories. And when that happens, everything else is so much easier. What Coco does fantastically and what so many movies fail to do is building a connective tissue that amounts to something greater than the movie itself, as if the fibres collide to do movie magic. When we reach the climax, it feels so earned because it's simple and because it's based on sincerity. Yes, the driving force of Coco comes from the beautifully apparent simplicity in its storytelling. It's a movie that is both a stunning visual spectacle and a touching piece of art. Also, in a time when racial segregation repeats its cycle of power, it's unusually brave to have an American studio make such a radiant homage to that culture, taking the pre-emptive measures for it to be an honour, not a steal. It comes as a surprise to nobody when I say that this film will leave you emotional (granted you belong to the human race). It's uncontrollable, it's within you to be moved when you have accompanied a character and watch the climax unfold and feel like you have earned the right to cry. And normally climaxes are huge and loud but Coco keeps it simple and quiet as moments that really strike a chord often are. What's also not so common is the movie's thematic lines, as you can't help to find incredibly brave that betrayal, murder and death are topics that the movie delves in profusely (yet never tackily). In the year in which Inside Out was release, that was, hands down, my favourite movie of the year. And, damn you Pixar, it will probably be again this year. At the end of the day, you sometimes go to the movies expecting a certain familiarity, something that you can rely on. Coco feels just like coming back to a loving home, it has the sweet scent of your grandmother's cake, it's as cosy as your childhood bedroom and it reminds us of the reason we keep coming back to these movies: to feel the warmth of the purest form of cinema."
"10",5,"  Best movie ever watched"
"11",5,"  best carton movie ever"
"12",5,"  110% a work of heartfelt art!! I can't believe I waited so long to watch it! The tears will roll!"
"13",5,"  The best movie would keep watching."
"14",4,"  Good fun family friendly fairy tale"
"15",5,"  Very good and emotional"
"16",4,"  Fun movie to watch from beginning to end ...."
"17",5,"  So. Much. Dust. in the air..."
"18",5,"  Absolutely amazing and inspiring. It brought a tear to my eye"
