"","Rating","Text"
"1",4,"  Dalle lacrime alle risate a crepapelle... Cartone che rimane nel cuore ??"
"2",3,"  Relatively good movie. The animation and sound was amazing. and it sent a good message to kids that violence is never the answer. Though, as a teenager I didn't enjoy it much. It was overall cheesy and kinda immature in some places. I also personally didn't like how clumsily lucky he was. He should have been dead by the time he got to Nina's farm."
"3",2.5,"  Blue Sky, we need to talk. So based on a children's book from the 1930s, this is about an oversized bull with a gentle heart, Ferdinand (John Cena). All he wants to do is smell the flowers and live with his family in Spain, but it seems that destiny is determined to pull him into the bull fighting life that he has tried so hard to get away from. Now if there is someone out there that can give this movie a fair chance, it's me. I love family oriented animation, and more often than not, I tend to connect with movies of this type to the point of defending them, sometimes undeservedly so. This got an Oscar nomination for Best Animated Feature, but that's not saying much, as it is no secret that the Academy doesn't take animation seriously (see: The Boss Baby). So how does Ferdinand stack up? Well, I think kids will like it fine, but I can't say that there is really much here for adults. Now to this movie's credit, this actually starts off stronger than I expected. I did sincerely enjoyed the first 20 - 30 minutes of setup where we learn about Ferdinand's backstory and get introduced to the family that adopts him. It is rare that I can pinpoint when a movie ceases to work, but it is precisely when Kate McKinnon shows up as a comfort goat. I think she is a talented actress, but the only purpose she serves here is just to be the zany sidekick, and they don't have really much of anything written for her to do. It is just a lot of weak sight gags, and none of them really have any payoff. It then starts to become more generic for the following second act... and then something unexpected happens. I do not consider this to be a spoiler because it has absolutely nothing to do with the forward movement of the plot, but right around the hour mark, this turns into Bring It On with no warning or reason. I mean really, all of these bulls have a dance off against these three horses that inexplicably have German accents, and it ends up being highly surreal and out of place. I don't think Cena does badly with his voice acting, but I do think he still has a ways to go before he reaches the status that Dwayne Johnson is currently at. I liked Ferdinand as a character as well, as he is basically like a giant dog who doesn't know his own size, but all of the side characters got on my nerves as time went on. It's watchable, but it is just very DreamWorks, if you follow me. I would say show it to your kids, but then again, kids have no idea who this character is, so they probably won't be excited for this. If this didn't get lazy after the first act, I might have been able to give this a low recommendation, but as it stands, it ends up being a bit of a misfire."
"4",3,"  So they don't dance around the fact that the bulls die when they face the matador. It's actually a pretty dark premise for a kids' movie. I had a few laughs, but I won't be seeing this one again anytime soon."
"5",4.5,"  Not bad film I like it. Ferdinand is a fun and good family film I ever watch with very good visuals and very well done likable characters but the thing is about this film is that its a fun film but it did not have the charm and the heart warming feeling that coco has plus the animation is good but not beautiful and artistic like coco has but you know what I have fun and this was a fun film to watch. Overall Ferdinand is a fun film for the whole family to watch even though it did not have the charm and the heart warming feeling that coco had but it was a well done animated family fun film that i enjoy it and have fun watching it. Well done Blue Sky Studios you guys made a well done and fun family animated film and I like and plus bulls are awesome and kind. good job and well done."
"6",1,"  The movie tried to do too much and should have stuck more with the original story. It's filler in trying to make it movie length was forgettable and at times exhausting."
"7",3.5,"  In a desperate attempt to escape the life of a fighting bull, Ferdinand (John Cena) escapes to a life of smelling flowers and relaxing in a peaceful farm. However, when he ends up back at his old home after being mistaken for a fierce bull, it's up to Ferdinand and an optimistic goat (Kate McKinnon) to convince the other bulls of the possibilities of a better life beyond the arena...As with most short children's books that are expanded to feature length narratives such as The Polar Express, The Grinch and The Lorax, Blue Sky Studios's adaptation of Munro Leaf's 1936 children's book, The Story of Ferdinand does tend to drag out it's narrative with annoying slapstick and pointless subplots.However, the beautiful background animation of Spain, John Cena's suprisingly good voice acting and the heart of the source material remaining intact, does make this film a lot more tolerable than those films and much like 2015's excellent adaptation of Peanuts, it proves that Blue Sky Studios is capable of producing quality work that isn't Ice Age related.Overall, Ferdinand is a cute little animal flick that doesn't offer much surprises, but has it's heart in the right place and is mostly harmless family fun."
"8",3,"  From Mexico to Spain, this year is very internationalFERDINAND Looking back, this year hasn't been the greatest when it comes to the animation genre. Apart from the obvious Pixar's masterpiece Coco, there haven't been any standouts that demanded a second watching from me. I haven't watched The Breadwinner yet but how does Ferdinand and The Boss Baby get to be considered two of the five best movies of the year? I miss Ghibli's annual nomination which, like, Pixar used to give us consistent masterful works every single year. And it's not that Ferdinand is bad but it's certainly no more than mediocre. It's a movie with the complexity of, for example, Rio which was no wonder either. And although the main character is immensely lovable, he's surrounded by archetypes who don't get to further themselves. Even the script denies itself the opportunity to delve in its heaviest themes, as it dodges every opportunity of a strong emotional punch in order not to scar young audiences. You know, kids are progressively less impressionable and sure, cohesive and straight-forward storytelling will cut it for them but it will not, however, be enough for us. There would be so much potential to send an anti bullfighting message with this film but it shies away from that. Ferdinand is, for the lack of a better word, a breeze. You are mildly entertained and then it ends. Its greatest flaw may be the lack of what true filmmaking has to spare: subtext. And that means the difference between breaking a china shop and grabbing the bull by the horns"
"9",3,"  sweet but a little slow in some parts"
"10",4.5,"  Imaginative, gorgeously animated, and very original."
