"","Rating","Text"
"1",3,"  Personally, it is my favorite God's Not Dead movie. It is relevant, it deals with real flawed people, and finding our faith through it all. The characters are all relatable and I can see myself in them. Go give it a watch!"
"2",5,"  The series finally got it right. It isn't us vs them, but it is about God's forgiveness, grace and love and how we need to that light in the darkness spreading God's love."
"3",4,"  Great movie that shows our plans are not always God's plan. God didn't call his church to fight but to love, that's how nonbelievers really know that God is not dead."
"4",5,"  Had to take my children to this, Shows challenges that face Christians and how people make judgments before knowing the facts."
"5",5,"  Great movie, very emotional and reflects todays times."
"6",2.5,"  Thought this was the best of the three, with acting not as wooden as the previous two. If you are going to see this one, you know what you are basically getting."
"7",4.5,"  Very good. Highly recommend. By far best of the 3 movies in this series."
"8",4,"  I enjoyed the film. It was a good reminder that it's more important for Christians to let people know what they are for, not just what they're against."
"9",5,"  God is not dead! Despite those in Hollywood who want to poke fun at believers , or call them crazy. God is still performing miracles in peoples lives and he needs to be brought back into schools. Kids being raised without God is one of the biggest calamities of the 21 st century. And it is quite evident in some of the tragedies occurring in our schools today. There are some hurting children out there who are acting out in some horrific ways. Some schools are pushing to have the 10 commandments back in the schools. Thank God for movies like this!"
"10",5,"  I dont care what the critics say. There not directing the movies to white christians and all the other bull. Its like they all missed the moral of the story which is that belielf in god is your choice and no one should have a say in your belief. No matter your Race! The Movies point out that god (any god you belive in cause even people who aren't Christian or Catholic can relate to the hate and hurt shown in this movie) will give you a life full of challenges but u hold to strength belief and hope you can overcome anything but if its your tine to go then go in peace with whatever you hold dear. Change the word god to any other belief and these critics will have the same ideal. But if you change the word god to what you believe in and what the christian god has done for his followers to what your belief does for your followers then is the movie not sending the same message. LOVE- HOPE- BELIEF"
"11",5,"  Powerful message!!!!"
"12",1,"  Awful! Very preachy, waste of time. Do not see."
"13",5,"  It was a great movie. I personally like it better than the other 2"
"14",3,"  An interesting plot, good actors, but there were some obvious mistakes in emotional responses of characters and plot logic. However, the plot kept me interested enough to get an emotional payoff in the end. Strangely enough, I think this film could be made better just by recutting some scenes so they made more emotional sense."
