"","Rating","Text"
"1",3.5,"  Very entertaining sequel to the 1995 classic. Upgrading the board game to a video game turns out to be a good move and the concept of putting the real life characters into the bodies of their very different avatars brings along some good laughs. On top of that, all lead actors (with a special mention for Jack Black) bring their A-game, making this a fun, adventurous watch."
"2",3.5,"  The movie was pretty entertaining. Jack Black wasn't annoying for once and was actually hilarious. However I wouldn't really call this Jumanji.. It was hardly related to the original movie besides the board game at the start and the title of the movie. Other than that it's just a movie where they get sucked into a video game.... but still a good watch"
"3",4.5,"  Clever script with superb casting. It is hard to be quite as vested as in some other types of adventures because we ""know"" this is a game ... until we forget! Great fun."
"4",5,"  Way better than the 1st film."
"5",2.5,"  Loved the original so much that I thought this was a joke when I saw the preview, but ended up going to see it and it was much better than I thought it would be. Lots of laughs too."
"6",3,"  This movie was ok, but not as good as people were making it seem. I enjoyed it for the most part but don't really see myself taking the time to watch it again."
"7",3,"  ok not great The original was much better."
"8",4.5,"  The Rock plays very well with Kevin Hart. Laughs throughout the movie."
"9",4,"  Far better than I expected. If you enjoyed the Robin Williams original, and you are not totally annoyed by everything that Dwayne (the Rock) Johnson does, then give this a shot. If you have kids, this is one of those essential passing the torch moments. Highly recommend in Blu-ray too."
"10",3.5,"  If there is anything that the original ""Jumanji"" had that made it special, besides Robin Williams, is that the creatures were largely menacing and the mystery about how dangerous ""The Jungle"" of the game might be was a palpable thought. The fact that thar world doesn't feel vicious enough and they barely explore it is disappointing. BUT this updated follow-up is good fun on its own with a clever cast & solid entertainment! - 7/10"
