"","Rating","Text"
"1",4.5,"  The dialog and friendship between Paul and Luke was intriguing. Each helped one another through such a time of persecution. They stayed faithful all for the love of Christ."
"2",0.5,"  Folks, I'm a conservative Christian who really wanted to love this movie. But, please take it from me as the truth when I say this was an awful movie. One of the most boring films I have ever seen. I have not idea where all of these people who claim they loved it came from. So bad it was embarrassing to be there. Open the Book of Acts and begin reading it aloud while looking in the mirror.... now you have seen the movie. Gives other good Christian movies a black eye."
"3",5,"  I loved this movie!!"
"4",5,"  Great acting and very uplifting."
"5",4,"  A bit slow at times. Also, for the sake of the story I believe that they put too much emphasis on the fear of the Christians concerning death. I know why they did it--to make a more powerful ending. Wonderful powerful ending. Paul and Luke were great!"
"6",5,"  Very powerful movie. I'll be unpacking this for a while."
"7",4.5,"  Excellent. A must see"
"8",5,"  Very, very good - seeing where love can overcome hate."
"9",5,"  I loved this movie i wish more people would go see it!"
"10",5,"  Paul, Apostle of Chris is an outstanding film. Any true Christians seeking eternal life won't be walking out of theater doors with dry eyes. Atheists on this site predictably give the film low ratings as they will any Christian religious film and then try to disguise their biased comments with weak arguments. Also not a movie for those easily bored or impatient with dialogue and lack of action while being a superb movie for those attentive to actor's subtle dialogue and emotions. It is a well crafted fictional story of a believable possible way Paul and Luke lived through the end stage of Paul's life that is based on their faith on Jesus's most important message of salvation and eternal life. Watching the movie is often painful due to the ongoing horrors against Christians, but so is each of our personal struggles with reality we are mortal fleshly creatures that at the end of our lives possibly die into an eternal death without hope, losing everything we ever had, every experience and memory of our lives, losing everything and every one we ever loved. But in the end, the movie shows why those of us with faith have reason to persevere to the end with real hope."
"11",0.5,"  Horrible, not scriptural, does not distinguish between Paul's Gospel and the Circumcision , it mixes gospels, it does not portray Paul's character and nature, and there are many unbiblical scenes...it's very dissapointing that Caviezel and the writers didn't study the scriptures more before making such an important movie... this movie will do more harm than good... Paul even warns that those who preach a different gospel is cursed. Also , Paul would NEVER recite the prayer "" Thy Kingdom come.."" because Paul's future is in the celestials... not on earth with Israel..Christians need to learn to correctly proportion scripture and study to show thyself approved.."
"12",5,"  I think the movie was on point about what was happening to Christians during the time of Nero."
"13",4,"  Really good! It really makes you think!"
"14",5,"  I saw ""Paul, Apostle of Christ"". I found it AMAZING. Although some of it is not in the Bible it is only meant for pacing. It didn't deviate whatsoever Biblically as far as I can tell. Will need read Acts and maybe some of Luke to be certain. The film is quite dark but there are moments of joy as it rightfully should be depicted. Although the commercials make it seem it is only Paul's last days there are flashbacks visually or through the actor (James Faulkner)who portrayed Paul. I have not seen this much attention to stay true to the Bible since ""The Passion of the Christ""."
"15",4,"  Faith-based movies are making incredible strides. There is a great bit of good acting and solid cinematography in Paul, Apostle of Christ. The story does not develop as clearly and powerfully as it could have. The potential for Paul and the early Church's story is deep and wide, and little of it has been tapped in film as of yet. This Paul movie takes steps towards the greatness it could have been. With that said, as a lover of Christ and His word, I found myself in tears more than once as the film gave narrative context to some of the most powerful words uttered by human lips. This was especially true with the final, and greatest scene of the movie when Faulkner recites portions of 2 Timothy as he bears his neck to be slain for His master. What follows filled me up."
"16",0.5,"  The story is rich enough to make it a masterpiece. But for that, an atheist should have make this movie... It would have resonated brilliantly into today America. Unfortunately, the people who made it where too scared and the movie is just annoying and empty..."
"17",2,"  I had high hopes for this movie I was completely disappointed. This movie was a missed opportunity. They pick up the movie at the end of paul's life in prison in rome before his execution. they should have started the story when he was saul, a jewish Pharisee, his conversion, his preaching, travels etc. this movie depicts Christians as weak martyrs. James Faulkner is miscast for the role of paul as is Olivier martinez as Mauritius. he can barely speak a word of English. we needed subtitles just to understand him alone. they give the character of paul a condo for a prison cell, large, spacious, clean as a whistle lighted by torches and not a rat, snake or cockroach in sight. reality was that paul was kept in a prison cell where the sewage of rome ran through it and where he was forced to stand chained chest high in it with rats etc. swimming all around him. when mauriitius asks paul ""can your god heal my daughter"" paul's CONFUSED AND WEAK ANSWER IS ""I DON'T KNOW"" WELL, thank God for luke who comes in and saves the day. seriously? We need a movie showing the real power of our god, our savior and our gospel, not this."
"18",5,"  Amazing Movie! A must see for every Christian! ??????"
"19",1,"  This wasted Jim Caviezel's talents for me. I am putting Andrew Hyatt and Affirm Films in my own personal blacklist along with Disney and Whedon."
"20",5,"  Honestly, I was a little hesitant going into this, as a lot of Christian films tend to be cheesy, poorly-made, Scripturally and theologically flimsy/borderline heretical, etc. I could go on. However, the subject matter (Saint Paul) and the casting intrigued me enough to give it a shot. And I'm so happy I did.It's one of the best Christian films I have ever seen, and that's including the old Hollywood Biblical epics.This film gives a fair representation of the harsh reality of the lives of the early Christians. It's dramatic, but not overly so. It's blunt, yet gentle. It treats its characters with respect and heartfelt humanity. Most importantly, however, is the highest regard it shows to its inspiration, the Gospel message of Christ-the joyful hope and perseverance it gives, the transformative power it brings to hearts and lives, the truth and peace it gives in a chaotic world.The movie is called 'Paul, Apostle of Christ', and yet, the film isn't really ABOUT Paul. Which is why it's wonderful. Despite his great accomplishments, everything Paul did was not to bring glory or recognition to himself, but to Jesus. Despite being the greatest evangelist the Church will ever know, Paul considered himself unworthy of any boasting, except to boast in what Christ had done for him and the rest of the world.Saul/Paul had caused so much pain and suffering to the early followers of Jesus, and then he himself would come to know that same pain and suffering himself for Christ's sake. He knew death was not a loss or an end, but true life and gain.This movie is faithful to that message of God's great love. Go see it. A 43% critics score is absurdly hyper-critical, though, unsurprising."
