"","Rating","Text"
"1",3.5,"  I enjoyed this movie. It slowed down too much in the middle for my liking, but the animation is really beautiful."
"2",5,"  I'm an old Nana and still am attached to my old Beatrix Potter books. But I still LOVED this movie! Absolutely delightful and plenty of laughs. People need to view movies with open minds."
"3",3.5,"  When it switches to the traditional illustrated animation of Beatrix Potter's paint and line work it's like magic. Well produced, designed and directed. The story is a little flat, and drags in places BUT the jokes are enough to keep a 7 year old and 9 year old on the ground crying with laughter. Domhall and Daisy FINALLY put on good performances in a movie. All round good fun for the family."
"4",4,"  Tremendous fun. Made me laugh."
"5",3.5,"  'Peter Rabbit' is a surprisingly fun film which successfully blends live action comedy with impressively expressive animation."
"6",4,"  Surprised me and was an amazing adaptation from the beloved books"
"7",4,"  Really funny family film. You have to wonder what these reviewers who give bad reviews see. Perhaps they should sit in a room full of families rather than sombre serious people looking for the next great thing. Lighten up! Family loved it. Laughed all the way through."
"8",3,"  That whirring noise you hear throughout the film is Beatrix Potter turning in her grave. Okay it's not that bad and to be honest this Peter Rabbit meets Home Alone is entertaining enough. Updates of old characters are not that uncommon these days - Batman, the whole output of Boomerang etc so it's only fair that Peter Rabbit gets it too although he already has on CBeebies. Some of the older concepts seem rather dated and quite frankly objectionable - thinking Rabbit pie here. James Corden as the voice? Well I'm not sure about that. However his performance is OSCAR worthy compared to his last one in the awful Emoji Movie."
"9",0.5,"  Awful on so many levels. Peter is naughty and rude at best, a pre-meditated murderer at worse. The film is crass and has a poor script. Very disappointing. My child was very upset that Peter tried to kill for a second time by firing a blackberry into Mr mcGregor's mouth even though he was allergic to it. He would have died had he not had an EpiPen. After we had a spell in hospital with anaphylaxis, this was really offensive and scary. Peter is a complete lefty marxisit who wants to take what others work for. just wholey bad bad bad"
"10",2,"  I didn't find it very funny and think it would have been better with potters original cartoon rather than this cgi rubbish. But the children in the cinema seemed to enjoy the violence a lot so I guess I just got old"
"11",1.5,"  If this wasn't ""Peter Rabbit"" but some generic animated film, I would have had far less problems with it. It is funny in places, and entertaining, but in the first half of the film displays an almost malicious under current with the rabbits dialogue more akin to some feral gang. I didn't really want my kids (5, 7, 9) to be watching it and siding with the rabbits. It's clearly been written with an American market in mind. By the end, the tone has changed and I don't consider the film a complete dead loss, but it's such a waste of potential. Paddington showed twice that you can retain the heart and charm of the original characters and themes. Peter rabbit is a lazy lowest common denominator effort that exists on the brash and lairy and a delight in violence that simply wasn't part of the potters original characters. Hence, in watching this I feel more like something was stolen from me rather than I wasn't intentional something new - a new worthy interpretation. It's like going to see the next terminator film only to find out it's about how humanity and skynet worked out their differences after a terminator fell in love with a resistance fighter, and most of the film unfolds in Shakespearian parlance. I ordered a hotdog, why did you bring me a falafel? I mean, there's nothing fundamentally wrong with this felafel, other than the obvious fact it's not a hotdog. And that's real pity because I really wanted to like this film much more than I did, and really didn't have huge expectations, it was just so very far from the mark."
"12",5,"  Love it! Havent a good laugh in a long time"
"13",4,"  This movie has just enough comedy targeted at adults to keep you interested."
"14",2.5,"  The visuals of nowadays animation movies are absolutely mind-boggling. Even if it's only for this, this flick is worthwhile, even for an adult, as the animals, in their basic aspect as well as in their movements look perfectly real. I quite enjoyed it, though it is naturally more of a juvenile movie. The sound track has some good underlying Brit songs which give this flick a special touch. 5/10 points."
"15",1,"  Very disappointing. The whole thing was extremely violent. The rabbits gloriously celebrated the death of Mr. McGregor (they showed him die and Peter poking the eye of his dead body) and the rest was them brutalizing Mr. McGregor?s nephew, who constantly tried to murder them. The entire movie was filled with adult themes and humor. Certainly did no justice to Beatrix Potter. Should have screened this one better."
"16",3,"  A fun kids film, some laughs for adults, but maybe the most unlikeable main character I've seen for a long time, ."
"17",2.5,"  Petter rabbit tell us a funny story but it falls in a movie with anything fresh for the genere"
"18",1,"  Awful movie. There are a few funny parts, but this movie is not appropriate for kids. Let's start with watching a man die; he falls to the ground and dies. The rabbit's attitude is ""Oh well"" and then says the man deserved to die. Immediately after this death, the rabbit begins partying and moves into the man's house, because he says he deserves it. Then there is the long drawn out romance and kissing scenes between the human woman and human man that take up way too much of the movie. So many kids are turned off by that. I love kid movies, but this one is definitely not one to love. Extremely disappointing."
"19",0.5,"  Terrible, listening to that buffoon corden is torture"
"20",0.5,"  Ever since his father was put in a pie and eaten up by the grumpy old farmer Mr. McGregor (Sam Neill), Peter Rabbit (James Corden), his sisters Flopsy (Margot Robbie), Mopsy (Elizabeth Debicki) and Cotton-tail (Daisy Ridley) and his cousin Benjamin Bunny (Colin Moody) spend their lives stealing vegetables from his garden, while also spending time with their human guardian Bea (Rose Byrne) who loves animals and painting. When Mr. McGregor dies of a fatal heart-attack, Peter thinks that his troubles are over for good. But when the old farmer's snooty nephew Thomas (Domhnall Gleeson) moves into the house with bigger and better rabbit-traps than ever, Peter vows to drive him out forever, especially when Thomas starts falling for Bea....Before J.K Rowling brought Hogwarts to life, before J.R.R Tolkien took readers to the mystical land of Middle-Earth, hell even before Michael Bond introduced a lovable bear with a passion for marmalade, the most iconic series of children's literature that ever existed were the stories published by Beatrix Potter. One of the most important contributors to the conservation of the Lake District and the National Trust, she was best known for the publication of her animal stories between 1902 to 1930 with her most well-known creation being the mischievous Peter Rabbit. Since then her stories have been adapted multiple times over the years, from a 1971 ballet film, A CGI show on Nickelodeon, the autobiographical film in 2006 Miss Potter, which told the story of her tragic relationship with her publisher Frederick Warne and finally The World of Peter Rabbit and Friends, a 1992 animated mini-series that, in this reviewer's opinion, is one of the most beautiful, underrated examples of British Animation which isn't suprising as it was created by Dianne Jackson, best known as the director of the more famous short The Snowman who sadly passed way in the middle of the show's production.Making a live-action adaptation of these timeless stories was admittedly going to be a hard task to do in this day and age where adaptations are the norm and trying to remain faithful to the spirit of the source material while also doing your own spin on it can make or break a task like this. But as Paul King's excellent Paddington films have shown us, it isn't impossible. So what do you after watching those examples........................................................................................................................you give it to the same Dick-heads who thought twerking Nativity doves and a movie about Emojis was a good idea!Of all the terrible live-action reboots that have disgraced the silver screen over the years such as Josie and the Pussycats, Alvin and the Chipmunks and The Flintstones: Viva Rock Vegas, this may be the worst example of those films ever made. Taking Sony Pictures Animation's worst traits which include desperately trying to be hip and cool with kids, obnoxious comic-relief and adding in so many dated pop songs in their soundtracks and amping them up to eleven in this modernized train-wreck is an insult not only those timeless stories, but is a giant middle-finger to adaptations in general. Look, I know that directors and screenwriters have to change things up from time to time, but they at least either try to keep the spirit of the original story intact or tell an equally timeless story themselves that can stand on it's own as an excellent film on it's own right, like Disney's Animated films.This does neither as it's story is so cliched, predictable and boring that one can even notice that Sony has blatantly taken the entire plot from their own Hotel Transylvania in it's narrative structure of someone finally getting rid of his enemy, only to discover that another enemy has decided to live on their land and fall in love with a female relative of the protagonist.Aside from Sam Neill's amusing cameo as the classic Mr. McGregor and Domhnall Gleeson getting a few funny moments as the overly snooty Thomas, the cast ranging from James Corden's obnoxious Peter Rabbit, Daisy Ridley's annoying ""weird"" sister Cotton-tail, Rose Byrne's awful ""Pixie-Dream Girl"" stereotype Bea and the cameos of other Beatrix Potter characters ranging from Sia's Mrs. Tiggy Winkle who encourages theft and vandalism, Ewan Leslie's Pigling Bland, once one of the politest and nicest characters in Potter's stories whose now reduced to a bad running gag in which he has an eating disorder and screams all the time, and the once terrifying Mr. Tod (Fayssal Bazzi) whose now obsessed with streaking and parties, are all so painful to watch that it, (I can't believe I'm saying this) makes the Transformers from the Michael Bay films look more closer to their own source material than these examples.Animal Logic's skill in creating some of the most incredible character animation as seen in the Lego movies and Happy Feet is sadly wasted here, as aside from one sequence that uses some beautiful hand-drawn animation drawn in the art style of the books that shows Peter's backstory and the death of his father, most of the realistic character animation is not suitable for a film like this.Overall, Sony Animation's Peter Rabbit is a travesty of a film that spits, shits and vomits on the legacy of Miss Potter and serves as further proof as to why Sony has one of the worst mainstream animation studios out there. You'd think that their recent Razzie Awards for The Emoji Movie would teach them a lesson, apparently not!"
"21",5,"  It was a really enjoyable movie even being a kid's movie. I really liked it. Very funny"
"22",3,"  I enjoyed the film... loved Hux & Rey... I mean, Domhnall Gleeson and Daisy's characters. They stole the show for me. Peter himself was gawd damn awful... in terms of personality and Corden's wooden, read directly from the script, emotionless voice acting. Was he the best they could find? He made Peter annoying as hell. Rose Byrne's character wasn't that fun either. Still, Domhnall & Daisy made up for it. Take your kids... fun family movie."
"23",3.5,"  its a sweet and funny movie. that's safe for kids and enjoyable for adults."
"24",4,"  Cute and funny, sure to entertain the kids."
"25",1.5,"  noooooooooooooooooooooo"
"26",3,"  Delightful and charming. Peter Rabbit is not perfect, but certainly kept the children rocking with laughter as they watched the naughty rabbit cause mayhem in MacGregor's garden. The animation is impressive and almost seamlessly weaves into live action, and then into Beatrix Potter's classic water colours. Enjoyed the poignant backstory reflections of Peter's father without being overly melodramatic. A fun film even for the adults."
"27",4.5,"  Perfectly blended movie of the original story with pop culture, as well as the right temperature for a family. This film appeals to both kids and adults. Best ""kids' movie"" I have seen in a long while!"
"28",5,"  Adorable, humorous, charming and a heartwarming tale just in time for Easter and spring! You will be hopping as fast as you can to catch up with the rabbits and all the other animals that are, once again, calculating how to get into Mr. McGregor's Garden. Peter Rabbit is based on the books by Beatrix Potter. Beatrix Potter lived from 1866 to 1943 and is one of the best-loved children's authors. She wrote and illustrated 28 books and each one has been translated into more than 35 languages. They have sold over 100 million copies. This is important because one of the main goals for the director and the cast was to stay true to her vision. The beauty of this film is that the rabbits all look as if you could touch them because the animation is so life like. The scenes with the garden and house look like places that I would enjoy living because they look like a fairytale that came alive. Of course, if you don't share your vegetables your life will not be enjoyable. The moral of the film is about getting along with others, telling the truth and being honest. Everyone makes mistakes and we need to find a way to fix them. Thump, click, crack, snap, thud - all these noises, plus thousands of other sounds effects add to the humor of this film. The music is outstanding. I cannot wait to purchase the soundtrack. There is a combination of movie symphony music, sounds from the 80s, new original songs and a plethora of songs and sounds that will put a smile on your face. Of course, the comical James Corden makes a perfect bunny. Peter Rabbit is my favorite character, full of sassy and classy moves and words of wisdom. His humorous and quick-witted lines made me burst out laughing when I watched the film. He also has a very kind heart, which I love. Corden brings his quirky personality that we see on his late night television show to this part.On the other hand, I also love the adorable Flopsy (Margot Robbie). She is so cute and cuddly, knows how to fend for herself and I just love her. She is the perfect role model for kids because she teaches how you can be both smart, cute and a fighter. Margot Robbie adds a bit of quirkiness to this character because she is the one and only Harley Quinn. She is the complete opposite - serious and tough - in the recent movie Christopher Robin. I loved meeting her in person.My favorite scene is when Mr. McGregor (Domhnall Gleeson) is electrified by the bunnies. This scene is absolutely hilarious and quirky. I could not stop laughing. Seeing bunnies figuring out how to use an electric fence was shocking. Ever caring, kind Bea (Rose Byrne) is the sweetest. She is the hero who protects the animals at all costs. I relate to her a lot. She is funny and a bite odd. Cotton-Tail (Daisy Ridley) is one tough bunny. You know that this film is magnificent when the star of Star Wars appears in it. Cotton-Tail is young, yet very feisty and tough. It reminds me of her character in Star Wars: The Last Jedi. I recommend this film for ages 6 to 18 and give it 5 out of 5 stars. Kids will adore the bunnies and the other talking animals. The teenagers will love the hummer and fun scenes that the younger kids don't understand. This film is a perfect for the entire family so grab a bag of carrots, radishes and turnips and head to the theaters.Reviewed by morgan b., kids first! film critic. for more reviews by youth, visit kidsfirst dot org"
"29",0.5,"  THIS MOVIE ISN'T JUST GENERIC ITS SURPRISINGLY EVEN WORSE THAN THAT.  18%"
"30",4.5,"  Very cute and family friendly. I took my 3 year old son and 13 year old cousin. We all enjoyed the movie and several laughs along the way. This was my son's 2nd in theater experience, the movie held his attention and he is repeating scenes and dialog back to me, over a week later."
"31",2.5,"  Only 3 things good for this. No potty jokes, some actually good jokes and magic animation. But it was so boring! When i saw it at the cinema i talked with my friends the whole time. We talked how bad the movie was. So many good things could happen and didnt."
"32",5,"  Me and my grandson went this see with two other pen classes laughs constantly and I loved it. The storyline and the action thru out the the movie was great and very unexpected you don't know what's coming next.. And so cute . graphics awesome"
"33",5,"  fantastic animation!"
"34",3.5,"  For an adaptation of a beloved children's book, this movie is not half-bad."
"35",5,"  I absolutely LOVE this movie!!!!"
"36",2.5,"  Character development was nothing but trash itself, not even the whole plot can make the writing better only the animation saved this film"
"37",5,"  For children perfect"
"38",4.5,"  Great family film, my 4 year old got a little bored fir the last half hour. I'd recommend x"
"39",5,"  Kids loved it and so did I!!!! Great movie."
"40",5,"  Fuuny movie. I watched the movie with my kids and enjoyed it as much as the kids did."
"41",0.5,"  Peter rabbit's animation looks just like the smurfs, & has a way different plot from its book. It is by far, Daisy Ridely's worst movie."
"42",5,"  My husband and I went to see this movie shortly after it came out. It is my new favorite animated movie. It does not have much of the ""Shrek"" humor, more of ""Home Alone"" type of antics. Kept true to the story book with a modern twist. Loved it so much!"
"43",0.5,"  Peter Rabbit attempts to use repetitive humour to save this predictable and unenjoyable film."
"44",3,"  I wanted to like this film and felt it would be fun but I just found it fairly crass and annoying. There are some good bits of slapstick humour and a few good puns. But what really ground my gears was James Corden and his constant loudness and overbearingness.The original books (as far as I can remember from my bunny years) were pretty alright and genteel. But I felt this was written by a London ghetto creature imposing themselves on the countryside. Like there was a point where all these animals go into the house, party and trash the place. And I just felt NO. This isn't respectful to the original at all and its not fun. Then another scene where the sweet singing sparrows keep falling out the sky or are hit by catapults by the bunnies. And it was just like no, you're ruining the spirit of this!The annoying thing is it was constant action, constant James Cordon being James Cordon. It did have some good points and was funny in places. On the whole I enjoyed it, but I want to cork James Cordon's mouth with a big fat carrot and rewrite the script so it was a bit more nuanced and 3-dimensional."
"45",3.5,"  brilliant cgi and animal characterisation - innovative treatment of an old favourite - some mistakes with violence and house trashing broke the spell for me"
"46",4.5,"  Cute. Entertained the kids and adults."
"47",1.5,"  Makes Vague Attempts To Hark Back To The Original Cartoon & Bring Things Forth Into A Modern Retell, Which Is All Well & Good. The Downside Is The Overt Focus On Slapstick & Innuendo Adult-Humor, Which Confuses The Genre & Overall Mood. There Is Much Fun Within Things, But It All Coulda Been Done Much, Much Better. I Tired Quickly Of The 'Wylie Coyote' Genre That Peter Rabbit Imbues As He Attempts To Steal & Mock His Nemesis..Loses Its Way As Things Side Step Ms Potter's Charming Ideal Of Rabbits."
"48",5,"  Its funny and enjoyable movie including alots of fun in thid movie..!! But i don get it why its need to be PG13 nothing is so wrong on that movie...!!!"
"49",5,"  Loved it. Funny, spirited, musical, just plain fun."
"50",3,"  most enjoyable - loved peter rabbit"
"51",5,"  I wondered if an adult I would enjoy it with the kids but I was greatly surprised but the acting and animation. I laughed at many scenes. Good Job."
"52",4,"  didn't like the book as a kid, absolutely loved the movie"
"53",4.5,"  I loved this movie. I really liked the fact that someone made a cute movie where one of the animal characters didn't have to die (like in jungle book.....bambie.....etc. Animation was excellent. Story was cute. Kinda tom and jerry type comedy. One complaint is the trailers spoiled some of the best fun gags in the movie, so that was a bummer. But really a great time watching this movie. I don't understand why more people didn't give it great ratings."
"54",5,"  Kids loved it, very entertaining"
"55",5,"  Great fun. Soundtrack was really good. Corden was endearing. So many Star Wars people involved... Daisy Ridley, Domnall Gleason,Rose Byrne, and Rob Coleman."
"56",5,"  AMAZING film!!! Very funny & for me a childhood classic was brought to life. Well worth a visit!!!"
"57",5,"  So far the best family movie all year. To those SJW types. get a life."
"58",1.5,"  Would have made a cute 20 minute movie before a movie movie or background muted movie at an Easter egg hunt... either way I'm glad I only paid for one of my three kids to see it with me."
"59",1.5,"  Felt compelled to review this in case people thought it would be a charming movie about a beloved character. Aside from the odd comedy moment it was awful from start to finish. My little boy asked me if it was 'still the Peter Rabbit movie' at one point because it had veered off in some random direction. I felt most sorry for the family next to us who had brought their very elderly grand mother who presumably was looking forward to enjoying a beautiful movie with a classic character but instead got this. If we had been nearer the aisle I would have left the cinema and I've never felt like that before."
"60",5,"  I've been to see this yesterday evening after 30 long horrible minutes of being stuck in a cold queue. But never mind that!Everyone comes to the cinema expecting a lovely storyline, a talented cast, non-stop humour, and even better - James Corden. This movie has a lot of that.Yes, I have to be honest, I've enjoyed this movie from start to finish! Even the audience seemed to have enjoyed it! If it was just a cartoon movie, I wouldn't like it at all.But it seems to me that this is better and funnier than The Emoji Movie.I'm not into reading the original Peter Rabbit books, granted, but this film really shows that Peter Rabbit is a sweet character, even though he might not be the same as Paddington.Seriously, if you miss this film, you'll be having a meltdown!"
"61",4,"  My son loved it. The entire theatre laughed throughout and my son couldn't stop talking about his favourite parts afterwards. Forget what the critics think - a happy child = a good movie."
"62",2.5,"  Great for kids. Not too bad for adults. Very well made. Nice scenes of London."
"63",5,"  Loved this film really not sure what the bad reviews are about. My 5 year old was LOL as were most of the Cheltenham audience"
"64",4.5,"  Funny and enjoyable."
"65",5,"  Funny funny funny! Must see movie. Our family had a blast!"
"66",5,"  ME ENATAR ESTA TAMBIEN PERO QUE LATIMA QUE NO ESTE LA LILY BOBNMEN, PERO LA PELICULA DEBWE DE ESTARA RE BUENA,"
"67",5,"  I went into it expecting to hate it. It was adorable. The story was entertaining and full of laughs. Lots of jokes for kids and parents. I hadn't seen any trailers, I had only word of mouth ideas on the quality of the movie. I was more than pleasantly surprised. The kids were both raving the whole way home. I especially enjoyed that it wasn't just a retelling, but an entirely new story."
"68",3,"  Not bad. Not to corny get jokes fun for the whole family. Go check it out. Worth seeing with the kids"
"69",1,"  I can't stand to hear James Cordons irritating voice but appart from that I'm unbiased in my opinion. The movie is terrible."
"70",3.5,"  I thought I would hate this movie and that my 5yo daughter would be bored to death. However, it was surprisingly fun to watch! My daughter actually LOVED it. Even my husband liked the movie, which is saying a lot."
"71",1,"  How to ruin a great childhood story"
"72",5,"  fun and entertaining, pleasantly surprised."
"73",4,"  Unique story surprised me! Like Babe movie"
"74",5,"  Grew up with the books and it is a great fun film for kids."
"75",1.5,"  My 3 year old wanted to see this movie so bad. I took him and he made it 45 minutes in and taped my hand said ""Daddy, I want to go home and play outside..."" I was so thankful. The movie was boring, forced, and reeks of pre-screenings, corporate meetings, and focus groups. I got a refund, took my kid home and we played in the sandbox together. So all in all I got a pleasant experience out of this movie."
"76",0.5,"  Way to ruin another story with PC writing and CGI. Oh well, does anyone care anymore?"
"77",4,"  I did not expect much from this movie but I found it to be very entertaining."
"78",5,"  the best movies ever"
"79",0.5,"  cgi isn't getting any better, But they keep filling their movies with the defective crap anyway."
"80",5,"  It's fun and funny. I laughed out loud a few times and the kids were entertained."
"81",5,"  hahaha this some funny stuff"
"82",5,"  Me and my nephew (7 years) ABSOLUTELY, loved this movie. it was so adorable and funny. i ABSOLUTELY loved the casting, the voices of the bunnies. 10/10 i would give this film."
"83",3,"  me gustaria ir aver esta pelicula porque es divertida y entretenida la recomiendo pero ,la voy puntuar con un tomate."
"84",2.5,"  A trailer is just like the 2016 movie ""Ghostbusters"". I Am not a really sarcastic."
"85",3.5,"  fun for the whole family. Much better than i thought it would be."
"86",3.5,"  My seven year old daughter liked it a lot. I will say as an adult, i didn't mind it. Silly nonsense but cute and enjoyable. I appreciated the fact that it was on the shorter side for movies."
"87",3,"  Cute movie and cute live action with animation. Gleeson and byrne are sweet together. Very funny!!! Not the Peter of the books though, be forewarned."
"88",3.5,"  pOUR UN film de famille c'est bien (et CA L'AIR QUE LE NOUVEAU LOOK DE rOTTENtOMATOES MET LES COMMENTAIRES UN MAJUSCULE :( )"
"89",4,"  I took my grandkids. We all lovEd it. There were many laugh outloud moments and i loved the way it Incorporated the author Into the story. I am glad i don't always let reviews make my decision about movies."
"90",4,"  Cute movie, loved the setting- really good if you're looking for a feel good movie that's easy to follow. Yeah, it's predictable and corny at times, but IT's Honest in it's intentions and isn't tRying to be more then what it is."
"91",5,"  I loved the movie. It was funny and light hearted."
"92",5,"  I think it was a really good movie."
"93",3.5,"  Raving rabbits. So you may already know the story of this rabbit named Peter who wears a blue jacket and repeatedly tries to get into his neighbor's vegetable garden for obvious reasons. This is taking it to the next level, and Peter (James Corden) has so many tricks up his sleeve that he will likely murder someone if he's not careful. I really only watched this in theaters because 1. I have a MoviePass, and 2. a mostly positive review caught my attention. I really haven't forgiven James Corden for being the worst part of the worst movie that came out in all of 2017 in The Emoji Movie, so I wasn't chomping at the bit to support his next project. When I had heard that he is actually unknowingly the villain in his own story, it was a dynamic that caught my attention. This movie is surprisingly decent. Now I could have very well just been in the right mood for this, but this was exactly what I was looking for on a lazy day off. The animation looks pretty good all things considered, and there is mischief, pranks and shenanigans throughout. I never at any point got bored with this, and while I may not have been getting big belly laughs, I did get a lot of chuckles and smiles watching this rabbit make Domhnall Gleeson's life a living hell. And speaking of Domhnall, he is having a lot of fun in this role. I don't know if he has any children or not, but sometimes actors want to let their proverbial hair down and do something wacky like this for kids to enjoy, and if their heart is in it, it will translate very well to the audience. That is exactly what happens here. Surprisingly, there is actually a controversy surrounding this film involving a plot point with a food allergy. While I will admit that it is kind of messed up when you see it happen, it felt in step with these somewhat malicious rabbits, and it didn't bother me all that much. This is cute and significantly better than it looks. I do think that kids will really like this, or if you just enjoy family films like I do, you are just going to have a good time with this. It doesn't do anything groundbreaking, and it is predictable as the story plays out, but it actually does a good job of setting up recurring jokes, and it is just better executed than you probably expect. I give Peter Rabbit an unexpected recommendation."
"94",5,"  AnimaTionn is fanastic. Rabbit actually hop. Plot is about love, changiing attitude, and admiting your actions. Warning dealth at beginning is not considered as bad. It is key to plot however."
"95",2.5,"  Pass me the carrots...............Mopsy, Flopsy, and Cotton-tail------juvenile delinquents.Okay for the little ones, but don't expect it to follow the book. Expect it to follow the Den of Thieves! Politically correct shaming for mocking allergies---say it ain't true! For your $8 you'll get $6.91 worth of entertainment, but your kids will be happy...."
"96",4,"  This movie is very funny, but for it's intention to be funny, it sometimes messes up charming moments."
"97",5,"  LOVED IT! SAW THIS WITH MY 12 DAUGHTER AND LITERALLY LAUGHED OUT LOUD THE WHOLE TIME. IT'S KID-LEVEL HUMOR WITH GROWNUP SMARTS. DON'T ANALYZE IT-JUST ENJOY IT."
"98",3,"  Fun for younger audiences or fans of the books, but no story interesting enough for adults."
"99",3.5,"  Yes the second half of the movie is full of clichés and most of its jokes are silly and repeated, but the movie is a sweet adventure that has surprisingly smart slapstick humor, gorgeous 3D animation and good voice acting specially from James Corden who voiced the titular character."
"100",5,"  I loved this movie, it was ADORABLE AND VERY CHARMING."
"101",4,"  a fun and hilarious movie and an enjoyable movie to watch with a family"
"102",3.5,"  Decent and fun film for the family. A couple memorable scenes to walk away with. Memorable characters. What movie did the critics watch?"
"103",5,"  This movie was wonderful. I loved it as much as my kids (11, 9 and 6)"
"104",5,"  Loved it!!! The technical aspect of it is fascinating."
"105",4.5,"  How this excellent movie get rotten in here, and by adults ???They must rate this film by children, not adults...And why nowadays adults so fragile, and told this movie so violent ???"
"106",3.5,"  This was a fun movie, think of an animal to people movie from the perspective of the Killer Rabbit in Monty Python and the Holy Grail. Good visuals, but also awesome sight gags, dialogue, and pretty good jokes. Definitely entertaining!!"
"107",5,"  The movie was good and fun"
"108",5,"  Great family movie. Entertains the kids and adults. The soundtrack is also enjoyable enough for adults that I may actually download it! It's real music (Bon Iver, and some 90's favorites that parents will appreciate and not contrived Disney crap)"
"109",3,"  Not the Peter Rabbit I remembered from childhood. I half expected this lagomorph to whip out his iphone to tweet to the twitterverse. While this film was diverting enough for my six year old daughter, I found myself rooting for Domhnall Gleason to make some rabbit stew."
"110",3,"  It was okay. It had it's moments. I still find it odd that most ""kids"" movies seem to be aimed more at ""adults"" now. I don't find it surprising given the current culture - just odd."
"111",4,"  Super cute! Great movie if you want to see something somwrhinfg light hearted and fun!"
"112",2,"  This movie tries its best to amuse little kids. There are countless ""butt jokes"". It's very obvious that the creators attempted at making this a funny movie. Ultimately, the amusement and jokes fail. This movie had a lot of potential, but unfortunately, it didn't meet up to these expectations."
"113",0.5,"  The reason this movie does not succeed is because it is illogical. Peter rabbit is a disappointment."
"114",4,"  Went with my niece and my nephew, it was cute I really enjoyed it"
"115",5,"  It's nonstop fun with comedy for everyone!!!!!!"
"116",3,"  Story was lacking in some spots. Animation was great, great cast."
"117",3.5,"  Cute good fun, especially one for date night. James Corden's humor shines bright."
"118",2,"  I have seen it. it's not that bad but its a bit of a let down"
"119",5,"  Super cute for the kids!"
"120",4,"  I never read the books as a kid or anything like that, so as a movie I really enjoyed it. I found it an amusing movie that I don't mind watching a third time. I seemed to have enjoyed it as much as the elderly couple behind me in the theatre. I don't need a complex plot to make me feel like I just watched a good/decent movie."
"121",0.5,"  Horrible scene where they almost murdered a a person by taking advantage of his allergies."
"122",1.5,"  Didn't we learn anything from the Alexander and the Terrible, Horrible, No Good, Very Bad Day movie?"
"123",4.5,"  Super funny movie for kids and adults"
"124",3,"  Fired Up!: Hilarious!Easy A: Hilarious and Charming. Even better!Man, this guy is on a roll...Friends With Benefits: Meh.Annie: Uh oh.Peter Rabbit: Who are you, Will Gluck?...I liked it more than I probably care to admit..."
"125",0.5,"  Probably the best animated movie of all time! I love when peter got shot in a dark alley way and bled to death. Awesome acting and cg ilke star wars episode 1. i miss peter laugh please comeback I love you and rweally want yoour love"
"126",0.5,"  Rabbits r gay and autistic."
"127",3,"  RT rating has this one exactly right at 58/60. I enjoyed the wholesome just- like-I-remember-it-as-a-kid feel of the book. Young children will enjoy this. At the risk of curmudgeoning, I feel that the birds suddenly rapping and singing popular songs spontaneously took away from it for me. It had some other elements of that formulaic snarky self-awareness that plagues all modern adapted films. And even (spoiler of a spoiler alert) fell back on the campy stepping on multiple rakes gag. (Deep breath). Overall, though, my family of Middle age, young adult, and grade schoolers enjoyed it."
