"","Rating","Text"
"1",0.5,"  I will forever be haunted by Johnny Depp saying, ""let's dance."" Gnomeo was hot and gentlemanly (yummy). Highly disappointed by the fact that Sherlock and Watson did not hook up in the end, although Watson did subtly graze Sherlock's butt in the final scene. I think you should get yourself a man who treats you like the strongest gnome in the garden. It was trippy when Sherlock went to the ""black and white"" world of his mind. It sort of felt like I was on an intense high all throughout the duration of this cinema masterpiece. I cringed at the sight of the thicc pie boy, who for some reason had a small selfie stick. I wanted to cry when I saw the dabbing gnome. Overall, I would see this movie again both to laugh at its stupidity and to stare at Gnomeo's muscular physique?."
"2",5,"  A fun childrens movie! Take your family and friends"
"3",0.5,"  Just....why...THIS MAKES ME WANT TO DI E-"
"4",5,"  This was an amazing movie!!!!!!!!!!!!!!! Best ever"
"5",1,"  Too predictable. Not fun... It's a miss!"
"6",0.5,"  Waste of time, as usual."
"7",5,"  This movie is so much fun. The writing is clever, witty, and funny, and the Elton John Songs are fabulous."
"8",5,"  My names Mary, I'm 66, and while I was watching Paul, Apostle of Christ, there was an ad for this very film. All the flapjacks in the audience didn't bulge, but I was laughing my toohinkers off. Everyone seemed quite garbled off at my psychopathic laughing, but I didn't care because I was jimplejahooking at this hilarious piece of cinematography."
"9",5,"  My wife and I loved it! Way better than we anticipated. We're both 70, and neither one of us had seen the first Gnomes movie. I don't know what those professional critics are grumbling about, because ""Sherlock"" impressed us as being a fast, funny, and visually imaginative entertainment. The thematic elements were good points to make and were well-expressed. Would we have seen it without our Movie Pass cards? Probably not, but thanks to our wonderful MP membership, we took a chance on this one. So glad we did... and by the way: The movie theater was empty when we saw it. We were the only two customers."
"10",1,"  one of the worst movies ever seen"
"11",5,"  Haven't seen it yet, but literally laughed my ass off the cinema seats when they played the trailer. #gothegnomes #certification"
