"","Rating","Text"
"1",2.5,"  My problem wasn't so much with what happened, rather how badly what happened was conceived and written."
"2",2,"  Jumping around in stpid plot lines that when come together you'll realize you've wasted your time watching this movie."
"3",0.5,"  This is one horrible piece of fan fiction. Do yourself a favor, and stop watching Star Wars after episode 6"
"4",2,"  I think Disney is totally wrecking the Star Wars franchise. As someone who remembers the original 3 films that kicked this off, it's very hard to watch what's being done to them."
"5",0.5,"  The Last Jedi is the cinematic equivalent of going to the doctor for a check up and finding out you have 12 minutes to live."
"6",1,"  It no good, it made me sleep. Why is it bad?"
"7",1,"  It was horrible. I was getting bored while watching the movie! What a bad writing. Save your money."
"8",0.5,"  star wars the last sjw, please fire both Kennedy and Johnson disney we are done with these feminist ideology"
"9",0.5,"  Rubbish!! They made luke skywalker milk a walrus' 3rd nipple and drink it. wtf."
"10",0.5,"  Terrible movie. Depressing with massive plot holes."
"11",3.5,"  Habiendo tenido algo m�s de tiempo para verla, sin duda es una película que tiene muchísimos problemas, especialmente en su guión. De hecho algunas posibilidades que dejaron abiertas en la anterior entrega son directamente tiradas al retrete por algunas de las decisiones más estupidas que he visto en el cine últimamente. Eso sí, visualmente es una gozada y la última escena con Carrie Fisher y Mark Hamill juntos tiene tanta carga emocional tanto diegética como extradiegética, que te deja todo con un buen sabor de boca.Esperemos que la siguiente entrega esté más a la altura..."
"12",1.5,"  worse Star wars movie ever, good job disney and ryan johnson."
"13",0.5,"  Horrible movie, ruined decades of lore and had completely crap characters."
"14",0.5,"  A sickening gut punch of a movie.The visuals and music were gorgeous but thats where the good stuff ends. This was a bad movie and absolutely awful star wars movie. The story made no sense, existing lore and continuity was completely disregarded, Luke is utterly unrecognisable from his original beloved character, dialogue is terrible and plot holes abound.This film as killed the remaining love I had for the start wars universe"
"15",0.5,"  Plot holes, bad side story (Finn, Rose), political messages and a lack of respect of the older characters. It also takes too much freedom with how the force works, it's basically a Deus ex machina at this point. Star Wars is dead."
"16",1,"  Star J Wars - The social justice warior universe. It has nothing to do with the cruel Star Wars universe. This is just commercialize beyond the point of sanity. Stil one star for very decent CGIs."
"17",0.5,"  Star J Wars - The social justice warior universe. It has nothing to do with the cruel Star Wars universe. This is just commercialize beyond the point of sanity."
