"","Rating","Text"
"1",0.5,"  Run save yourself, the worst movie ever"
"2",0.5,"  Thi is a quite bad movie. I don't understand why it is considered a comedy when there is a lot of killing going on. I don't know why there is fun made of a dead body of dictator even if we know he was awful. I guess because I live behind the iron curtain, I don't understand such ""humor."" Why is F-word used over and over without reason is another reason why I can't give it more stars. How disappointing. I was so much looking forward to see this movie."
"3",4.5,"  Funniest movie I have seen in awhile. Buscemi crushes Khruschev role."
"4",1,"  The first thing I did not like was that NO ONE had a Russian accent! The movie was not funny, except for a line or two. I was so looking forward to something fun like Monty Python. So sad and disappointed with this."
"5",1,"  One hour into the movie, neither me, or my wife, or the whole theater audience save for one guy in the back row had chuckled once. For the first time in our marriage, we got up and walked out feeling we had wasted enough of the everning. I think we were all expecting more comedy and less drama. Definitely not in the ""Best Film Of The Year"" team photo."
"6",2.5,"  Chosen for its cast, sadly disappointing"
"7",1,"  I went into the theatre expecting to laugh - I laughed twice! The movie could not decide if it was trying to be a comedy or a sick twisted farce. It succeeded a bit as a farce - but it was not funny at all. It got really perverted when they shot Beria in the head and then set his dead body on fire."
"8",5,"  Tremendous cast, laugh out loud funny about mass murder. It is very hard to write that sentence."
"9",4.5,"  Satire at its best, this movie shows the basic incompetence of political systems relying on total control from its start to its finish. My only real complaint was the ending seemed a bit rushed, but otherwise, this is one dynamite film."
"10",5,"  Fantastic. I only wish it was three or four hours long so they could have more gags."
"11",4,"  Laugh out loud funny and even a little educational. Solid acting, tight script, well produced, offering a lot of insight into the nature of people, power, and fear."
"12",2,"  As a fan of Veep I did not find this movie very funny at all. No one in our theater was laughing much at all."
"13",1,"  What an annoying stupid movie. I guess it was supposed to be a satire but not that funny, mostly pathetic. And whatever technique they used while filming made it seem out of focus out of the time which gave me a headache and forced me to keep my eyes closed a lot."
"14",2.5,"  It was average. The trailer made it appear funnier than it was. The comedy was very dry."
"15",5,"  Hilarious in all the right places. Lots of fun."
"16",5,"  Did not expect stalin to die 5/5"
