"","Rating","Text"
"1",4,"  Wonderfully crafted romantic fairytale from the hands of Guillermo del Toro."
"2",1.5,"  Weirdest movie I have ever seen. Reminded me of beauty and the beast but def didn't capture my emotions."
"3",1,"  A major disappointment."
"4",0.5,"  Sickos that enjoy BESTIALITY and a FUGLY woman masturbating in her bathtub will enjoy this movie. Nasty arse sickos....and abominable."
"5",1,"  This absolutely has to be the worst movie ever to win the best picture award. Many of the characters were more like cartoon characters than real people and the theme is nothing new kind of like King Kong. How could such an awful movie win the best picture award, must be the studio paying Russian trolls to pump this up."
"6",5,"  Loved it. Weird romance story. But it was touching. Brought some current social topics up. Nice touch."
"7",2.5,"  Definitely didn't deserve the level of acclaim it received."
"8",4,"  Well done movie with a twist at the end"
"9",5,"  The Shape of Water is the only movie that can be compared to Paddington 2 in terms of completeness. That makes it easy to detect flaws in the completeness, and Sally Hawkins ' performance in Paddington 2 is very irritating to talk about more. Doug Jones's waterlogged acting was good, and Richard Jenkins's portrayal of the character and Zelda : Octavia Spencer. Personally, I think you should never miss this movie."
"10",4,"  New age beauty and the beast fairytale. The beauty is mute and beast is a subject of experiment for scientists and Soviet spy."
"11",0.5,"  How in gods green earth did this get an Oscar. This movie is total garbage, horrible script and a storyline that is not possible to follow. I think it's some kind of porn. I feel so sorry for the actors as this will be on there resume permanently."
"12",2.5,"  One copy to splash movie ....really for the Oscar??mmm well for my not..."
"13",4,"  I wasn't even sure I liked the movie after I saw it, but I haven't stopped thinking about it since. I think it's worth a second watch for me. Guillermo del Toro does not dispoint in his visual-centric story telling. While there is a scene with a cat I dont think I can ever unsee, the twist on fairytales and monster stories where (spoiler) man is the biggest monster of all is refreshing. For those who were upset by the ending of Pans Labyrinth, they may find this ambiguous ending to be more likely happy, while up for interpretation. Come for the beautiful visuals, stay for the representations of minorities (including black, gay, mute and female characters) in their fight against the machine."
"14",2,"  original story - but can never get the 2 hours back i sat and watched it"
"15",4,"  Great, but Oscar-winning great? Not really."
"16",4,"  It's basically E.T. but with lots of sex."
"17",3.5,"  A fish out of water story (for shore) with a fishy love affair leading to an escape in order to avoid becoming fish filet."
"18",4,"  Guillermo Del Toro's The Shape of Water is a beautifully crafted film about friendship, love, sacrifice and acceptance. Unfortunately, it constantly reminded me of a specific Simpsons episode that dealt with Troy McClure and his ""romantic abnormality"". Don't get me wrong, this is a terrific movie filled with great performances, gorgeous production values, and a wonderfully dark sense of humour...I just kept hearing Phil Hartman's voice in my head the entire time. Not everything in the movie works, but I don't think any of it would've worked unless Guillermo Del Toro was in complete creative control. It's essentially his twisted take on Beauty and the Beast, just replace the beast with the creature from the black lagoon. The budding romance between Sally Hawkins' mute Eliza and the God-like amphibian man may be at the forefront, but it was the friendship between Eliza and her neighbour, played by Richard Jenkins, that was the highlight of the film for me. Then there's poor Michael Shannon, relegated to playing the same one-dimensional bad guy over and over again...although Del Toro does give his character a hilariously morbid gag about his fingers slowly rotting off. It's this kind of dark humour sprinkled throughout the movie that made me enjoy it that much more. The Shape of Water is well acted, emotionally engaging, surprising, funny, and very, very weird. It still makes me laugh that a movie about fish sex won best picture."
"19",2,"  Dull as dishwater. Pretty to watch at the start but ends up as a ball of nothing, with authenticity issues galore. You won't care about any of them by the end."
"20",2,"  Visuals was only good thing about this movie"
"21",4,"  ""When he looks at me - the way he looks at me. He does not know what I lack or how I am incomplete. He sees me for what I am, as I am.""This film was strange, yet haunting. Disturbing, yet poetic. I loved the cinematography, the music, and the moral behind this film. Love is not judgemental, and this film leaves you with an ache in your chest."
"22",3,"  This is a weird movie, a sort of cross between Splash and Beauty and the Beast. The American paranoia of the 1950s and 1960s is clearly demonstrated. Some of the characters are a rather disturbing reflection of what appears to be resident in the Trump White House. The violence was disturbing, but the passion of the actors was very emotional."
"23",2,"  Boring, poorly paced, and wholly unremarkable."
"24",3.5,"  A unique love story / sci-fi monster flick. Amazing filming and effects with a tender story under it all."
"25",1.5,"  Terrible movie. There were way too many parts that made no sense whatsoever. Poor pacing, generic love story, too long by about an hour for the story told, didn't evoke any real emotions. Literally every white man is evil except the communist? Can you shove the political agenda any further into my face? How the heck did this even get nominated????"
"26",4,"  Really enjoyed this movie, the dark tones and characters were great. I still don't buy that Del Toro did not have Abe Sapien in mind, but that is a conversation for another time."
"27",0.5,"  This movie was an assault on the senses. Totally gross from any aspect."
"28",3.5,"  Mm loved its vintage styling and music but really?? Sex with an alien amphibian????"
"29",2,"  About the only thing surprising in this film was the amount of overt sexual content was used to try and make it interesting. Even that was less than entertaining."
"30",4,"  Weird as Hell and Strangely Fascinating!Great Performances!"
"31",5,"  Gorgeous to look at, a modern twist on a fantasy tale and supported by the talented Hawkins and Shannon. Shape of Water is a masterpiece of film and a top mark for Del Toro to date."
"32",1.5,"  This movie had a way of over-extending many scenes. Could have been cut to about an hour."
"33",5,"  Del Toro is back on form with this film. Is it a monster film, a cold war film, a prisoner breakout film? It's all this and more due to del Toro ability to make his films transcend genres. Everything just fits together so well, including the added social commentary about the treatment of blacks and homosexuals."
