"","Rating","Text"
"1",4,"  Loved it as much as the old Tomb Raider!"
"2",3,"  Very predictable, more violent and dark than needs be in many scenes. Not the most believable plot. Despite all these flaws, love Alicia Vikander. Good beginning and decent enough cast, even though the overall experience was quite average. Wouldn?t necessarily recommend and yet, I?d probably watch the sequel if they made one."
"3",2,"  I didnt have any high expectations but still this movie managed to be dissapointing."
"4",5,"  I love this movie. I look forward to watching it again on video."
"5",5,"  It was everything a Lara Croft movie should be. She has Stamina, A great Story, and now i can't wait for a sequel! Awesomesauce!"
"6",2,"  Cannot stand this actor. Actually, if she could stop her hoarse screeching and grunting and screaming, it might have been okay. Whoever told her that was the great way to show suffering should be fired. That's my main thing, it was so grating - just over and over scream and screech and squeak. When I've been in terrifying situations, I'm not screeching and screaming and squeaking, and neither does any other real female that I know. I hope to never watch her in another movie unless she knocks that crap off."
"7",4,"  The acting and the story was superior to the action. The action, for me, was just to over the top. I liked the story and the characters."
"8",4.5,"  Finally a video game movie adaptation worth watching! There's some room for improvement, but I'd be thrilled to see sequels."
"9",2,"  Had high expectations but as I thought this movie can't beat Angelina Jolie's. Quite predictable, kind of boring but it was average."
"10",3.5,"  Alicia Vikander is a fresh start for the video game heroine we grew to love since the 90's. But the ones in the early 2000's with Angelina Jolie ,were awful. With the 2013 reboot and the most recent Rise of the Tomb Raider, Lara Croft was given a more instinctive nature that shows the skills she possesses, rather than the goods ;). While this film did have it's flaws, I enjoyed watching her character grow."
"11",4.5,"  with regard to games, i prefer final fantasy and dragon warrior over tomb raider. as far as movies go, turns out tomb raider is my crack. only bit that rang false was lu ren sounding vaguely north american., instead of chinese, or at least british. took off half a star for that. sorry for the caps lock, something's wonky with my notebook..."
"12",5,"  Loved Alicia Vikander in this film, very good visual effects as well."
"13",3.5,"  Something for every TOMB RAIDER fan to watch. It's fun, action-packed and dramatic. This Portrayal of Lara Croft was like seeing her first adventure, judging by how the character reacts to intense sequences in the movie, it's Lara's First Adventure. And I hope to see more of these movies in the near future. I loved the game, and I'll say the same for the movie."
"14",4,"  I really enjoyed it, and I can't wait for a sequel."
"15",4,"  I personally loved the move a lot. For those that have played the game, i think that they would agree when i say that the movie stayed true to the character we all know and love.The way the movie explored the character of Lara was very good. I think that this film did a great job of capturing the essence of Lara Croft unlike the other Tomb raider movies by Angelina."
"16",4,"  definitely a good entertaining movie! I personally liked this more than the original one. I grew up on tomb raider, and was expecting a shot for shot of the 2013 reboot game, but this was a really great adaptation with some different twists. a few acting mishaps here and there with supporting characters, but alicia KILLED her role and this was a really great movie!! definitely go see it, tomb raider fan or not!"
"17",1,"  Bad acting to bad stunts movie sucks"
"18",3,"  Energetic and fun at times, completely boring at others. Probably better than the Angelina versions if I am honest. Could have gone a little deeper, but it was fine for what it was."
"19",2,"  when the most interesting scene in the movie is the last one ..........enough said"
"20",1.5,"  It was fun. Good action. But felt like one long video game cut scene. Didn't believe the character arcs and didn't find myself wowed at any point in the movie."
"21",4,"  Really good reboot of the tomb raider movie series. I enjoyed the pace and action in the movie and the performances were spot on. Not much humour but that was good as it could have just been a camp runaround. The actress who played Lara Croft did really well. I was impressed."
"22",4,"  Very entertaining and edge of your seat! I want more!"
"23",2.5,"  Acting: Alicia Vikander gave a very good performance as Lara Croft and was the highlight of this film. However, she was let down by the acting around her. Storyline: I felt the storyline really became stuck in places and there was a lot of lazy writing. Another aspect of the film that really let down the brilliant approach of Alicia VikanderPacing: Due to the failures of the storyline the pacing of the film was all over the place. At moments it felt like not much was happening and then things were happening too quickly. Genre: For an action film I didn't really feel like there was a lot of action and what there was could have been done better. Enjoyment: The film was ok. I really enjoyed the last 15-20 minutes of the film and found myself wondering why the rest of the film couldn't have been as good. There were moments throughout where Alicia Vikander gave really compelling performances but I found myself daydreaming in places where the storyline faltered."
"24",5,"  Great film, similar to the games in many ways, though the story is different."
"25",2.5,"  The movie is not perfect. There are many things one can complain about. But overall, it's entertaining and much better than Wonder Woman."
"26",3.5,"  Take as a purely action flick, movie is pretty good. I liked a lot of the visual effects, and to me Matthias was an excellent antagonist."
"27",5,"  The best Tomb Raider/Video game adaptation ever!"
